name	tier	score	campus	km	locality	email	website	phone	tato_cats	established
Macho Halisi Limited	B	61	Ilboru	2.3	arusha	info@machohalisi.com	www.machohalisi.com		TO/MAIN	
NAPENDA ADVENTURES LTD.	B	61			khuzeima@na.co.tz	www.napendaadventures.co.tz	+255 757 150 490 | +255 688 209 490	TO/MAIN	Y	
The African Footprint Co. Ltd (Bush 2 Beach)	B	61	Ilboru	2.3	arusha	info@bush2beach.com	www.bush2beach.com		TO/MAIN	
THE RICKSHAW TRAVELS LTD	B	61			md@rickshawtz.com	www.rickshawtz.com	+255 22 2602303/04/05	TO/MAIN	Y	
Twiga Craft Brewery (1001 Organic Limited)	B	61			raphael@twigabrewery.com	twigabrewery.com	+255 752 289 945	AFF		
Afrikabisa - Ethical Tours	B	60	Boma Ngombe	22.8	kilimanjaro	info@afrikabisatours.com	www.afrikabisatours.com	+255784299160	TO/DMC/TREK/MAIN	
Artisan Coffee and Patissier Restaurant	B	60	Ilboru	2.3	arusha	jambo@artisan.co.tz		+255 765 489 908 | +255 786 238 772	AFF	
Bright Tanzania - Private Climbing & Safari Tours	B	60	Boma Ngombe	22.8	moshi	info@bright-tanzania.com	www.bright-tanzania.com	+255 716 490 564	TO/DMC/TREK/MAIN	
CAR LIGHT TOURS AND SAFARI LIMITED	X (out of range)	60	Boma Ngombe	447.7	dar es salaam	info@carlighttours.travel	www.carlighttours.travel	+255 748 944 444	TO/DMC/TREK/MAIN	
Delaware Luxury Safari Limited	X (out of range)	60	Boma Ngombe	447.7	dar es salaam	info@safasafaris.com	safasafaris.com	+255 679 907 036	TO/DMC/TREK/MAIN	
Destiny Winners Safari and Tour	B	60	Boma Ngombe	22.8	kilimanjaro	info@destinywinnerssafariandtour.com	destinywinnerssafariandtour.com	+255 656 803 660	TO/DMC/TREK/MAIN	
Exuberant Kilimanjaro Travel	B	60	Boma Ngombe	22.8	moshi	info@exuberantkilimanjarosafaris.com	www.exuberantkilimanjarosafaris.com	+255 744 419 409	TO/DMC/TREK/MAIN	
Hike Talkstay Adventures	B	60	Boma Ngombe	22.8	kilimanjaro	info@hiketalkstay.com	www.hiketalkstay.com	+255 755 214 223	TO/DMC/TREK/MAIN	
HOLA AFRICA LTD	X (out of range)	60	Boma Ngombe	447.7	dar es salaam	info@hola-africa.com	hola-africa.com	+255 783 880 160 | +255 753 505 750	TO/DMC/TREK/MAIN	
Ibhanilfa Safaris & Tours Limited	X (out of range)	60	Boma Ngombe	447.7	dar es salaam	info@ibhanilfasafaris.com	ibhanilfasafaris.com	+255 736 590 059	TO/DMC/TREK/MAIN	
Kilimandscharo Active Tours (KAT)	B	60	Boma Ngombe	22.8	moshi	info@kat-moshi.com	www.kilimandscharo-safari.de	+255 (0) 767 895 333 | +255 (0) 754 095 333	TO/DMC/TREK/MAIN	
Kilimanjaro Heroes Adventures	B	60	Boma Ngombe	22.8	moshi	Info@kilimanjaroheroes.com	www.kilimanjaroheroes.com	+255 716 588 188 | +1 413 244 1490	TO/DMC/TREK/MAIN	
Kilimanjaro Tropical Adventures	B	60	Boma Ngombe	22.8	moshi	info@kiliwilderness.co.tz	www.kiliwilderness.co.tz	+255 658 204 754 | 686 240 327	TO/DMC/TREK/MAIN	
King Mart	B	60	Kijenge	2.1	themi	md@kingmart.co.tz		+255 694 774	AFF	
Lady Tusk Safaris	B	60	Boma Ngombe	22.8	kilimanjaro	info@ladytusksafaris.com	www.ladytusksafaris.com	+255 716 777 461	TO/DMC/TREK/MAIN	
Land Savannah and Trekking	B	60	Boma Ngombe	22.8	moshi	info@landsavannahandtrekking.com	www.landsavannahandtrekking.com	+255 (0) 685 827 115	TO/DMC/TREK/MAIN	
Luitours and Safaris	B	60	Boma Ngombe	22.8	moshi	info@luitours.com	www.luitours.com	+255 655 749 131 | +255 754 672 768	TO/DMC/MAIN	
MAGS Travel and Tours Agency Limited	X (out of range)	60	Boma Ngombe	447.7	dar es salaam	info@magstravel.co.tz	magstravel.co.tz	+255 744 470 998 | +255 772 117 007	TO/DMC/TREK/MAIN	
Mega Adventures travel	B	60	Boma Ngombe	22.8	kilimanjaro	info@megaadventurestravel.com	www.megaadventurestravel.com	+255715820280 | 0764264244	TO/DMC/MAIN	
Msafiri Tanzania	B	60	Boma Ngombe	22.8	moshi	info@msafiritanzania.com	msafiritanzania.com	+255 762634600	TO/DMC/TREK/MAIN	
NAMIRI TOURS AND SAFARIS LIMITED	X (out of range)	60	Arusha City (Sakina)	426.5	mwanza	info@namiritours.co.tz	www.namiritours.co.tz	+255 684 661 546	TO/DMC/TREK/MAIN	
Nature's Land Safaris & Rentals Limited	X (out of range)	60	Arusha City (Sakina)	426.5	mwanza	travel@naturesland.co.tz	natureslandsafaris.com	+255 627 999 333 | +255 786 998 811	TO/DMC/TREK/MAIN	
Pamoja Kilimanjaro & Safaris	B	60	Boma Ngombe	22.8	moshi	info@pamojakilisafaris.com	www.pamojakilisafaris.com	+255 756 741 238	TO/DMC/TREK/MAIN	
Safari Jens/Kitulano Investment Ltd	X (out of range)	60	Boma Ngombe	447.7	dar es salaam	info@safari-jens.dk	www.safari-jens.dk	+255 766 5252 95	TO/DMC/TREK/MAIN	
SAFARINI AFRICA LTD	B	60	Ilboru	2.3	boma road	lwogamarie@hotmail.com	safarini.com		TO/DMC/TREK/MAIN	
Shiri Adventures and Safaris	B	60	Boma Ngombe	22.8	kilimanjaro	info@shiriadventures.com	shiriadventures.com	+255 743 689184	TO/DMC/TREK/MAIN	
ZAFS Tours	B	60	Boma Ngombe	22.8	moshi	info@zafstours.com	www.zafstours.com	+255 624 023 455 | +255 620 285 462	TO/DMC/TREK/MAIN	
Masumin Tours and Safaris	X (out of range)	58	Arusha City (Sakina)	426.5	mwanza	masumins@thenet.co.tz	masuminsafaris.com	+255 28 2500192 | 2503295	TO/MAIN	Y
Betheli Expeditions	C	57	Ilboru	2.3	arusha	info@betheliexpedition.co.tz	www.betheliexpeditions.com		TO/DMC/TREK/MAIN	
GILMAG SAFARIS	C	57	Ilboru	1.9	aicc	info@gilmagsafaris.com	www.gilmagsafaris.com	0786469052 | 0782926165	TO/DMC/TREK/MAIN	
I DREAM OF AFRICA LTD	C	57	Kijenge	7.6	arumeru	info@idreamofafrica.com	www.idreamofafrica.com	0754 461594	TO/MAIN	
Imara Kilele Safaris	C	57			info@imarakilelenisafaris.com	imarakilelenisafaris.com	+255 748 002 696	TO/DMC/TREK/MAIN		
KILIPEAK ADVENTURE	C	57	Ilboru	2.3	arusha	info@kilipeakadventure.com	www.kilipeakadventure.com	0786 68 33 33 | 0784 42 42 68	TO/DMC/TREK/MAIN	
Monkey Adventures	C	57			support@monkey.travel	monkey.travel	+255763586729 | +255 764 269 916	TO/DMC/MAIN	Y	
ONA SAFARI	C	57			julius@ona-safari.com	www.ona-safari.com	+255 784 451 080 | +255 784 869 975	TO/DMC/MAIN		
RIOBA SAFARIS	C	57			info@riobasafaris.com	riobasafaris.com	+255625644950 | +255714644950	TO/DMC/TREK/MAIN		
Sabrahm Safaris	C	57			sabrahm@sabrahm-safaris.com	www.sabrahmsafaris.com	+255 745 763 923	TO/DMC/TREK/MAIN		
Safari Bike Africa	C	57	Ilboru	2.3	arusha	info@safaribikeafrica.com	www.safaribikeafrica.com	0710-730-693 | 0682-260-700	TO/DMC/MAIN	
Shemeji Safari	C	57			contact@shemejisafari.com	shemejisafari.com	+255 (0) 695 431 593	TO/DMC/TREK/MAIN		
STILL WATERS SAFARIS	C	57			info@stillwaterssafaris.co.tz	www.stillwaterssafaris.co.tz	+255 746 776 894	TO/DMC/TREK/MAIN		
Tanzania Emotion Safari	C	57	Ilboru	2.3	arusha	info@tanzaniaemotionasafaris.com	www.tanzaniaemotionsafaris.com		TO/DMC/MAIN	
Tanzanie Authentique	C	57	Ilboru	2.3	arusha	info@tanzanieauthentique.com	www.tanzanieauthentique.com	0762334496	TO/DMC/TREK/MAIN	
Tazama Africa Safari	C	57			info@tazamaafricasafari.com	www.tazamaafricasafari.com	+255 744 400 043	TO/DMC/MAIN		
The Exclusive Portfolio	C	57	Ilboru	2.6	nyerere	theexclusiveportfolio@gmail.com	theexclusiveportfolio.com	+1 209 759 4951 | 0784 400 507	TO/DMC/TREK/MAIN	
UDARE SAFARI	C	57			info@udaresafari.com	www.udaresafari.com	+255 784 665 115	TO/DMC/MAIN		
ALTEZZA TRAVEL	C	56	Boma Ngombe	22.8	kilimanjaro	office@altezza.travel	www.altezza.travel	+255717120809 | +255785061478	DMC/MAIN	
Arusha Art Ltd	C	56	Ilboru	2.4	india street	info@arushaart.co.tz	www.arushaart.co.tz	0272545719	AFF	
DISCOVER TANZANIA SAFARIS LTD	X (out of range)	56	Boma Ngombe	447.7	dar es salaam	discovertanzania@habari.co.tz		+255 27 2050125	TO/MAIN	Y
Dropping Zone	C	56	Ilboru	2.3	arusha		www.droppingzone.co.tz	+255 755 304 053 | +255 759 880 969	AFF	
Kilimanjaro Responsible Trekking Organization	C	56	Boma Ngombe	22.8	moshi	info@kiliporters.org	www.kiliporters.org	+255754817615	AFF/NGO	
MAULY TOURS & SAFARIS	C	56	Boma Ngombe	22.8	moshi	info@mauly-tours.com	www.mauly-tours.com	+255 2727 50730 | 54807	TO/MAIN	Y
MBALI MBALI LODGES AND CAMPS LIMITED	X (out of range)	56	Boma Ngombe	447.7	dar es salaam	finance@mbalimbali.com	www.mbalimbali.com	+255 688 331 256 | +255 784 786 682	TO/MAIN	
Shades of Africa Ltd	X (out of range)	56	Boma Ngombe	447.7	dar es salaam	account@albatros.co.tz		+255 27 2548659	TO/MAIN	Y
Skylink Travel Ltd	X (out of range)	56	Boma Ngombe	447.7	dar es salaam	book@skylinktanzania.co.tz	www.skylinktanzania.co.tz	+255 22 211 5381	TO/MAIN	Y
Summit Expeditions & Nomadic Experience	C	56	Boma Ngombe	22.8	moshi	info@nomadicexperience.com	www.nomadicexperience.com	+255 787 740 282	TO/MAIN	Y
TGN COMPANY LTD	C	56			info@tgn.co.tz	www.tgn.co.tz	+255 763 395 355	AFF		
ZARA TANZANIA ADVENTURES	C	56	Boma Ngombe	22.8	moshi	zainab@ztatours.com	www.zaratanzaniaadventures.com	+255 754 451 000	TO/MAIN	
OKKA House	C	55	Ilboru	2.3	arusha	houseokka@gmail.com		+255 759 885 986 | +255 755 421 969	AFF	
CRDB Bank Plc	C	53			Godson.Biyengo@crdbbank.co.tz	crdbbank.co.tz	+255 22 2197700 | +255 714197700	AFF/FIN		
NBC Bank Tanzania	C	53			contact.centre@nbc.co.tz	www.nbc.co.tz	+255 76 898 4000 | +255 22 219 3000	AFF/FIN		
NMB Bank Tanzania	C	53	Ilboru	2.3	arusha	tuambie@nmbbank.co.tz	nmbbank.co.tz	022 2324942/3	AFF/FIN	
Nomad Tanzania	C	53			info@nomad-tanzania.com	www.nomad-tanzania.com	+255 787 595908 | +255 784 208343	TO/MAIN	Y	
POOJA TRAVEL TOUR	C	53			info@poojatravelstour.com	www.poojatravelstour.com	+255688434343	TO/MAIN		
SAFARI AVVENTURA (T) LTD	C	53			info@safariavventura.com	www.safariavventura.com	+255 764514412 | 0784514412	TO/DMC/MAIN	Y	
Wasim Trans Garage	C	53			wasim@wasimlimited.com	wasimlimited.com	+255 786 024 772	AFF/AUTO		
Absolute Wilderness Travel and Tours	X (out of range)	52	Ilboru	229.8	nairobi	info@absolutewilderness.com	www.absolutewilderness.com	+255 754 69 38 39	TO/DMC/TREK/MAIN	
Acatree Tours and Safaris	X (out of range)	52	Boma Ngombe	447.7	dar es salaam	info@acatreetours.co.tz	www.acatreetours.co.tz	+255 740 045 567	TO/DMC/TREK/MAIN	
Bongoplan events and tours	X (out of range)	52	Boma Ngombe	447.7	dar es salaam	info@bongoplan.com	www.bongoplan.com	+255718143650	TO/DMC/TREK/MAIN	
Endelea	X (out of range)	52	Boma Ngombe	447.7	dar es salaam	safari@endelea-africa.com	www.endelea-africa.com	+255 764 786 432 | +255 659 545 400	TO/DMC/TREK/MAIN	
Kiboko Safaris	C	52	Ilboru	2.3	arusha	kibokosafari1@gmail.com	www.kibokosafaris.com	0766202734 | +1 317 438 4412	TO/DMC/TREK/MAIN	
Legacy Destinations & DMC	X (out of range)	52	Arusha City (Sakina)	90.4	mto wa mbu	info@legacydestinations-dmc.com	legacydestinations-dmc.com	+255 743 626826	TO/DMC/TREK/MAIN	
Mount Royal Safaris	X (out of range)	52	Kijenge	502.2	iringa	info@mountroyalsafaris.com	mountroyalsafaris.com	+255 670 210 555	TO/DMC/TREK/MAIN	
Precious Moments Safaris	X (out of range)	52	Boma Ngombe	447.7	dar es salaam	bookings@preciousmomentssafaris.com	www.preciousmomentssafaris.com	+255 740 518 784 | +255 718 503 636	TO/DMC/TREK/MAIN	
Rafiki Tembo Tours & Safaris	X (out of range)	52	Arusha City (Sakina)	90.4	mto wa mbu	info@rafikitembotours.com	rafikitembotours.com	+255 746 330 998 | +255 761 026 806	TO/DMC/TREK/MAIN	
Shah Tours & Travels Ltd	C	52	Boma Ngombe	22.8	moshi		www.shah-tours.com	+255 27 275 2370	TO/MAIN	Y
Stan Safaris	X (out of range)	52	Boma Ngombe	447.7	dar es salaam	info@stansafaris.com	www.stansafaris.com	+255787632406	TO/DMC/TREK/MAIN	
Feimac Travels Company Limited	X (out of range)	51	Boma Ngombe	447.7	dar es salaam	info@feimactravel.com	feimactravel.com	+255 747171927	AFF	
Print Plus Media Limited	X (out of range)	51	Boma Ngombe	389.2	zanzibar	sales@printpluszanzibar.com	www.printpluszanzibar.com	0653 338 032 | +255 773 521 384	AFF	
Senjaro Pay Technologies Limited	X (out of range)	51	Boma Ngombe	447.7	dar es salaam	info@senjaropay.com	senjaropay.com	+255 744 798 828 | +255 799 918 002	AFF	
Mama Africa Safaris	C	49	Ilboru	1.9	kaloleni	info@mamaafricasafaris.co.tz		0688012372	TO/DMC/MAIN	
Takims Holidays Tours & Safaris Ltd	X (out of range)	49	Boma Ngombe	447.7	dar es salaam		www.takimsholidays.com	+255-22-2110346	TO/MAIN	Y
WILDERNESS COLLECTION	C	49			reservations@thewildernesscollection.com		+255 758 885 150	TO/DMC/MAIN		
A TENT WITH A VIEW SAFARIS	X (out of range)	48	Boma Ngombe	447.7	dar es salaam	info@tentwithaview.com	www.tentwithaview.com	+255 22 2110507	TO/MAIN	Y
Afric' Aventure Ltd	X (out of range)	48	Boma Ngombe	447.7	dar es salaam	info@africaventure.net		+255 754 378 363	TO/MAIN	
Claritas International	X (out of range)	48	Boma Ngombe	447.7	dar es salaam	info@claritas.co.tz	claritasint.co.tz	+255 757 555 000 | +255 765 345 835	AFF/FIN	
Easyota	C	48			sales@easyota.com	www.easyota.com	+255 766 796 685 | +44 20 8133 3424	AFF		
Kearsleys Travel & Tours	X (out of range)	48	Boma Ngombe	447.7	dar es salaam	sales@kearsleys.com	www.kearsleys.com	+255 22 2137713	TO/MAIN	Y
RiverStone Africa Safaris	C	48			rngusaru@riverstonesafaris.co.tz	www.riverstonesafaris.co.tz	+255 754 272171 | +255 784 364558	DMC		
Rudra distributors	C	48			Info@rudradistributors.co.tz	www.rudradistributors.co.tz	+255 688 434 343	AFF		
SHAYONA SAFARIS & TOURS	X (out of range)	48	Arusha City (Sakina)	426.5	mwanza	info@shayonasafaris.com	www.shayonasafaris.com	+255789522000 | +255764151397	TO/MAIN	
Tanzania Roadside Expeditions	C	48			info@roadsidetanzania.com	roadsidetanzania.com	+255 759638883	MAIN	Y	
United Tansania e.V	C	48			unitedtansania@gmail.com	unitedtansania.org	+255 762 942 565	NGO		
Victory Attorneys & Consultants	C	48			info@victoryattorneys.co.tz	victoryattorneys.co.tz	+255 752 089 685 | +255 673 717 790	AFF		
Ahsante Tours & Safaris LTD.	C	45				+255 784 252 636 | +255 765 557 575	TO/DMC/MAIN			
East African VOYAGE	C	45	Ilboru	2.3	arusha	mengoriki@eastafricanvoyage.com			TO/MAIN	
H & A Holidays ltd	C	45			hello@haholidays.com	www.haholidays.com	0754 860 806	TO/DMC/MAIN		
Lemuta & Khaki Safaris	C	45	Ilboru	2.3	arusha		lemutakhakisafaris.co.tz		TO/DMC/MAIN	
Summits-Africa	C	45			info@summits-africa.com		+255 (0) 784 522090	TO/MAIN	Y	
Pristine Trails Adventures & Safaris Co Ltd	D	44	Boma Ngombe	22.8	moshi	info@pristinetrails.com	www.pristinetrails.com		TO/MAIN	
The First Lady Tour Safari	D	44			thefirstladytoursafari@gmail.com		+255 624655115 | +255 762635115	TO/DMC/MAIN		
EvMak Tanzania	X (out of range)	43	Boma Ngombe	447.7	dar es salaam	info@evmak.com	www.evmak.com	+255 716 400 001	AFF	
Flightlink	X (out of range)	43	Boma Ngombe	447.7	dar es salaam	centralreservations@flightlink.co.tz	www.flightlink.co.tz	+255 748 505 610	AIR	
GO TANZANIA	X (out of range)	43	Boma Ngombe	447.7	dar es salaam	info@gotanzania.co.tz	www.gotanzania.co.tz	+255 746 986 110	AFF	
Imaging Smart	X (out of range)	43	Boma Ngombe	447.7	dar es salaam	info@imagingsmart.com	www.imagingsmart.com	+255 784 603 083	AFF	
Nyamazela Trading Co (T) LTD	D	43			meseranisnakepark@gmail.com		+255 754 440 800	AFF		
Wilmaar Insurance Brokers Ltd	X (out of range)	43	Boma Ngombe	447.7	dar es salaam	zaakir.siddik@wib.co.tz		+255 713 266 051	AFF	
LAITOLYA TOURS & SAFARIS LTD	D	41			info@laitolya.com	www.laitolya.com	0756 716 496 | 0756 865 280	DMC/TREK		
Thomson Safaris Ltd	D	41			info@thomsonsafaris.com	www.thomsonsafaris.com	800-235-0289 (US number)	TO/MAIN	Y	
URTH EXPEDITION LIMITED	D	41			info@urthsafari.com	www.urthsafari.com		DMC/MAIN		
YAS Tanzania	D	41			yas.co.tz		+255 713 123 103	AFF/FIN		
African Queen Adventure	D	40			info@africanqueenadventures.com		+255766254433 | +255754813378	DMC		
Tanzania Outfitter & Safaris	D	40	Ilboru	2.3	arusha	tosafari@tosafari.co.tz		0755511332	DMC	
NURU TOURS AND SAFARIS	D	37			sheickynuru@nurutursandsafaris.com	www.nurutoursandsafaris.com		TO/DMC/MAIN		
RA Expeditions	D	37			info@rasafaris.com	www.rasafaris.com		TO/DMC/MAIN	Y	
AFRICAN HORIZONS LTD	D	36			safariplans@gmail.com	www.africanhorizons.com	(847) 905-0296 (US number)	TO/MAIN	Y	
Dolphin Tours & Safaris Ltd	X (out of range)	36	Boma Ngombe	447.7	dar es salaam	info@carhiretz.com	www.carhiretz.com	0784 322111	TO/MAIN	
Paradise And Wilderness Tours Ltd	X (out of range)	35	Boma Ngombe	447.7	dar es salaam	Kisukusoni@hotmail.com	www.africa-safari.com		TO/DMC/MAIN	
Wildreality Safari	X (out of range)	35	Boma Ngombe	447.7	dar es salaam	travel@wildrealitysafari.com		+255 755 425 859	DMC	
AAA EXPRESS ADVENTURE LTD	D	33				www.aaaexpressadventure.com		TO/DMC/TREK/MAIN		
Peacock Tours & Safaris	D	33			info@peacocksafaris.com	www.peacocksafaris.com		TO/MAIN		
Robin Hurt Safaris	D	33			info@robinhurt.com	www.robinhurt.com	+254 (0) 720 783 202	TO/MAIN		
FANTASY ADVENTURES LIMITED	X (out of range)	32	Boma Ngombe	447.7	dar es salaam	info@manyaluxurycamps.com		0758802006	TO/DMC/MAIN	
KARIBU KILIFAIR	D	31	Boma Ngombe	21.3	shanty town	info@kilifair.com	www.kilifair-tanzania.com	0754 200 580	AFF	
VIMAT SAFARIS LTD	D	28			info@vimatsafaris.com			MAIN	Y	
All season bureau de change	D	25			info@allseasonbdc.co.tz			AFF/FIN	Y	
MOUNT KILIMANJARO SAFARI CLUB (TAWISA)	X (out of range)	21	Boma Ngombe	447.7	dar es salaam		www.tanzaniatourism.com		TO/MAIN	Y
Ranger Safaris	D	21				www.rangersafaris.com		TO/MAIN	Y	
SERENGETI SAFARI MARATHON	D	16				www.serengetisafarimarathon.or.tz	0754740682	AFF		
ACCESS 2 TANZANIA	D	13					DMC/MAIN			
Sali Safaris	D	13					0754430400 | 0713252627	DMC/MAIN		
