name	tier	score	campus	km	band	locality	email	website	phone	tato_cats	established	founded	size_check	notes
MAKISALA SAFARIS	A	77	Ilboru	2.3	0-5 km	arusha	info@makisala.com	www.makisala.com	+255 788 323 254	TO/DMC/TREK/MAIN				
Miles to Smile	A	77	Ilboru	2.3	0-5 km	arusha	contact@miles-to-smile.com	miles-to-smile.com	+255 766 056 532	TO/DMC/TREK/MAIN				
Mobila Tours & Safaris	A	77	Ilboru	2.3	0-5 km	arusha	info@mobilasafaris.com	www.mobilasafaris.com	+255 786 822 848	TO/DMC/TREK/MAIN				
Mountain Warriors Tour and Safaris	A	77	Ilboru	0	0-5 km	ilboru	Info@mountain-warriors.com	mountain-warriors.com	+255759253296	TO/DMC/TREK/MAIN				
Natural Smile Expeditions	A	77	Ilboru	2.4	0-5 km	mringa	info@naturalsmileexpeditions.com	naturalsmileexpeditions.com	+255 678 474 749 | +32 476 22 77 27	TO/DMC/TREK/MAIN				
Nkollo Tours & Safaris	A	77	Ilboru	1.9	0-5 km	kaloleni	info@nkollotours.com	nkollotours.com	+255 718 111 173	TO/DMC/TREK/MAIN				
Nndeeafrika	A	77	Ilboru	2.3	0-5 km	arusha	safari@nndeeafrika.co.tz	www.nndeeafrika.com	+255 782 918 187	TO/DMC/MAIN				
Ozon Light Tours	A	77	Ilboru	2.3	0-5 km	sokoine	info@ozonlighttours.com	ozonlighttours.com	+255 746 678 965	TO/DMC/TREK/MAIN				
Passionate Guides Tanzania	A	77	Ilboru	2.3	0-5 km	arusha	info@thepassionateguides.com	www.thepassionateguides.com	+255 710 122 066	TO/DMC/MAIN				
Rupia Adventure	A	77	Arusha City (Sakina)	3.9	0-5 km	shangarai	info@rupiaadventure.com	www.rupiaadventure.com	+255 686 699 009	TO/DMC/TREK/MAIN				
Safari - HQ	A	77	Ilboru	2.3	0-5 km	arusha	info@safarihq.com	safarihq.com	+255 767 829 590 | +61 420 442 509	TO/DMC/TREK/MAIN				
SAFARI ASAP	A	77	Ilboru	1.6	0-5 km	mianzini	contact@safariasap.com	www.safariasap.com	+255 788519851	TO/DMC/TREK/MAIN				
SAFARI SOLES	A	77	Ilboru	2.3	0-5 km	arusha	info@safarisolestours.com	www.safarisolestours.com	+255766322264 | +255716322264	TO/DMC/MAIN				
Safari-tz	A	77	Ilboru	2.3	0-5 km	arusha	info@safari-tz.com	www.safari-tz.com	+255 740 666 662	TO/DMC/TREK/MAIN				
SAFARI.AFRICA	A	77	Arusha City (Sakina)	0	0-5 km	sakina	florida@safari.africa	www.safari.africa	+255 787 082 545 | +46 73 324 3634	TO/DMC/MAIN				
Safaris Africa United	A	77	Arusha City (Sakina)	0	0-5 km	sakina	info@safarisafricaunited.com	www.safarisafricaunited.com	+255 787 791 940	TO/DMC/TREK/MAIN				
See Endless Adventures Tanzania	A	77	Ilboru	2.3	0-5 km	arusha	info@see-adventures.com	see-adventures.com	+255 677 450 003	TO/DMC/TREK/MAIN				
Serengeti Clarity	A	77	Ilboru	2.3	0-5 km	arusha	info@serengeticlarity.com	serengeticlarity.com	+255 68 655 5755	TO/DMC/TREK/MAIN				
Serengeti Wakanda Tours & Safaris	A	77	Ilboru	2.3	0-5 km	arusha	info@serengetiwakandatours.com	www.serengetiwakandatours.com	+255689528201	TO/DMC/TREK/MAIN				
Sher East Africa	A	77	Ilboru	2.3	0-5 km	arusha	tanveer@sher.co.tz	sher.co.tz	+255 683 555 666 | +255 783 339 124	TO/DMC/TREK/MAIN				
Shilashi self drive car hire and safaris	A	77	Ilboru	2.3	0-5 km	arusha	info@shilashicarhire.com	www.shilashicarhire.com	+255755373111 | +255746690692	TO/DMC/MAIN				
Shubhomis Adventure (Ronjoo Safaris)	A	77	Ilboru	2.3	0-5 km	arusha	deepak@ronjoosafaris.co.tz	ronjoosafaris.co.tz	+255 747 394 631	TO/DMC/TREK/MAIN				
SIRI MAASAI SAFARIS LIMITED	A	77	Ilboru	0	0-5 km	ilboru	info@sirimaasaisafari.com	www.sirimaasaisafari.com	+255789882023	TO/DMC/MAIN				
Stavo Adventures	A	77	Ilboru	2.3	0-5 km	arusha	info@stavoadventures.com	stavoadventures.com	+255 771 536 445	TO/DMC/TREK/MAIN				
Stone Town Tours and Safari	A	77	Ilboru	2.3	0-5 km	goliondoi	marketing@stonetowntoursandsafari.com	www.stonetowntoursandsafari.com	+255 746 566 682 | +255 699 009 699	TO/DMC/TREK/MAIN				
TANGANYIKA OUTDOOR SAFARI GUIDE	A	77	Ilboru	2.3	0-5 km	arusha	ndemfoo@tanganyikaoutdoorsafari.com	www.tanganyikaoutdoorsafari.com	+255622688706 | +255784688706	TO/DMC/MAIN				
Tanzania Unique Adventures	A	77	Ilboru	2.3	0-5 km	arusha	info@tanzania-unique-adventures.com	www.tanzania-unique-adventures.com	+41-76-20 24 291 | +255-788 443 009	TO/DMC/TREK/MAIN				
Telly Africa Tours and Safaris	A	77	Ilboru	2.3	0-5 km	arusha	info@tellysafaris.co.tz	www.tellysafaris.co.tz	+255 768 839 140	TO/DMC/TREK/MAIN				
Tracks Of Africa Safari Adventure	A	77	Arusha City (Sakina)	0	0-5 km	sakina	office@tracksofafrica.net	tracksofafrica.net	+255 766 347 731	TO/DMC/MAIN				
Transcendent Journeys Tanzania	A	77	Ilboru	2.3	0-5 km	arusha	victor@transcendentjourneystz.com	www.transcendentjourneystz.com	+255 754 046 196	TO/DMC/TREK/MAIN				
Travelling Monkey Safari	A	77	Ilboru	2.4	0-5 km	kanisa road	contact@travelling-monkey.com	travelling-monkey.com	+255 684 415 288	TO/DMC/TREK/MAIN				
VAN MO SAFARIS	A	77	Ilboru	2.3	0-5 km	arusha cbd	info@vanmosafaris.com	www.vanmosafaris.com	+255741222888 | +255753630095	TO/DMC/TREK/MAIN				
Vianney's Untamed Expeditions Company Limited	A	77	Ilboru	2.3	0-5 km	arusha	vianney.jacob@vianneysuntamedexpeditions.com		+255785950544	TO/DMC/TREK/MAIN				
Viola Tours & Travel	A	77	Ilboru	2.3	0-5 km	arusha	info@violatours.com	www.violatours.com	+255 786 271 420 | +255 713 295 928	TO/DMC/MAIN				
Vision Safari & Tours	A	77	Ilboru	2.3	0-5 km	arusha	info@visionsafaritours.com	visionsafaritours.com	+255 742 658 833 | +255 716 390 974	TO/DMC/TREK/MAIN				
Wild Pride Safaris	A	77	Ilboru	2.3	0-5 km	arusha	info@wildpridesafaris.com	www.wildpridesafaris.com	+255 685 340 345	TO/DMC/MAIN				
A & N Uniques Safaris (2000) Ltd	A	76	Ilboru	2.3	0-5 km	arusha	uniquesafaris@uniquesafaris.co.tz	uniquesafaris.com	+1 612-201-4461	TO/MAIN		2000		
Aafrin Medihealth Solutions Ltd	A	76	Ilboru	2.3	0-5 km	arusha	sonia@aafrinmedihealth.com	aafrinmedihealth.com	+255 689 788 788	AFF				
AFRICAN GALLERIA Ltd	A	76	Ilboru	2.3	0-5 km	arusha	info@africangalleria.co.tz	www.africangalleria.co.tz	+255786026461	AFF				
Air Excel Ltd.	A	76	Ilboru	2.3	0-5 km	arusha	reservations@airexcelonline.co.tz	www.airexcelonline.co.tz	+255272970249 | +255272970250	AIR				
E & H TANZANIAN ADVENTURES LIMITED	A	76	Ilboru	2.3	0-5 km	arusha	info@ehtanzanianadventures.com	www.ehtanzanianadventures.com	+255 754 674 673 | +255 784 674673	MAIN				
Gemuka Adventures Limited	A	76	Ilboru	2.3	0-5 km	boma road	info@gemukaadventures.com	www.gemukaadventures.com	+255 785 463 870 | +255 763 850 133	DMC				
Hanspaul Assurance Brokers Limited	A	76	Ilboru	2.3	0-5 km	arusha	info@hanspaulassurance.co.tz	hanspaulassurance.co.tz	+255 767 103 803 | +255 652 225 372	AFF				
Ignite Energy Access UK Ltd	A	76	Ilboru	2.3	0-5 km	arusha	peter.ngota@igniteaccess.com	igniteaccess.com	+255 0800755000 | +255717206965	AFF				
MEGA TENTS (AL-ANVER OUTFITTERS LTD)	A	76	Kijenge	2.1	0-5 km	themi	murtaza@alanvertents.com	alanvertents.com	+255 754 285 045 | +255 699 534 388	AFF				
Okota Waste Management Ltd	A	76	Kijenge	4.9	0-5 km	muriet	info@okota.co	www.okota.co	+255 715 592 337	AFF				
Safari plus ltd	A	76	Ilboru	2.3	0-5 km	arusha	kieran@safariplus.co.tz	www.safariplus.tz	+255 783 887 838	AIR				
Superdoll Trailer Manufacturer Co (T) Ltd	A	76	Ilboru	2.3	0-5 km	arusha	arusha@superdoll-tz.com	www.superdoll.co.tz	+255 68 664 6161	AFF				
Tanmanagement Insurance Brokers Ltd (JW SEAGON)	A	76	Ilboru	2.3	0-5 km	arusha	harkiran@jwseagon.com	www.jwseagon.com	+255 688 750 720	AFF				
Twalan Company Ltd	A	76	Ilboru	2.3	0-5 km	arusha	info@twalan.co.tz	www.twalan.co.tz	+255 768 489 185 | +255 755 644 545	AFF				
Zohar African Safaris Ltd	A	76	Usa River	0	0-5 km	usa river	bookings@zoharafricansafaris.com	www.zoharafricansafaris.com	+255 754 630 963 | +255 624 004 400	DMC				
CORTO SAFARIS Ltd	A	74	Ilboru	2.3	0-5 km	arusha		www.cortosafaris.com	+255 688 794 747	TO/MAIN	Y	1994		
Abercrombie & Kent	A	73	Ilboru	2.3	0-5 km	arusha	gwood@abercrombiekent.co.tz	www.abercrombiekent.com	+255 27 250 8346	TO/MAIN				
African Big Cats Safaris	A	73	Ilboru	2.3	0-5 km	arusha	info@africanbigcatssafaris.com	www.africanbigcatssafaris.com	+255 786 508 052 | +255 689 981 444	DMC/MAIN				
ALLEN TANZANIA SAFARIS	A	73	Ilboru	2.3	0-5 km	arusha	info@allentanzaniasafaris.com	www.allentanzaniasafaris.com	+255-(0)732 971949 | +255-(0)754 276881	TO/MAIN	Y			
Breathe Tanzania Safaris	A	73	Arusha City (Sakina)	5.8	6-10 km	olasiti	info@breathetanzaniasafaris.com	www.breathetanzaniasafaris.com	+255 754 263 039	TO/DMC/TREK/MAIN				
Bright African Safaris	A	73	Ilboru	2.3	0-5 km	arusha	sales@brightafricansafaris.com	www.brightafricansafaris.com	+255 756 761701 | +255 688 761 701	TO/MAIN				
Dorobo Tours & Safaris	A	73	Ilboru	2.3	0-5 km	arusha	office@dorobo.co.tz	dorobo.co.tz	+255 27 2509683	TO/MAIN				
Experiential Travel Africa	A	73	Ilboru	2.3	0-5 km	arusha	info@experientialtravelafrica.com	www.experientialtravelafrica.com	+255713565195 | +255679565195	TO/MAIN				
Get together adventure	A	73	Ilboru	1.9	0-5 km	kaloleni	info@gettogetheradventures.com	www.gettogetheradventures.com	+255 758 109 933	DMC/MAIN				
ITAKA SAFARIS	A	73	Ilboru	2.3	0-5 km	arusha	itaka@itakasafaris.com	www.itakasafaris.com	+255 759 334 274	TO/MAIN				
Karibu Africa Safaris	A	73	Usa River	5.4	6-10 km	ambureni	info@karibuafricasafaris.com	www.karibuafricasafaris.com	+255 754 572 279	TO/DMC/TREK/MAIN				
KARIBU CAMPS	A	73	Ilboru	2.3	0-5 km	arusha	info@karibucamps.com	www.karibucamps.com	+255 789 193 333 | +255 758 860 002	TO/MAIN				
Kilpath African Safaris	A	73	Kijenge	5.5	6-10 km	moshono	info@kilpathafricansafaris.com	www.kilpathafricansafaris.com	+255 712754125	TO/DMC/TREK/MAIN				
Lappet Faced Safaris	A	73	Ilboru	2.3	0-5 km	arusha	sales@lappetfacedsafaris.com	www.lappetfacedsafaris.com	+255686944066	DMC/MAIN				
Lashku Forex Bureau Limited	A	73	Ilboru	2.3	0-5 km	arusha	forex@praxisaccounts.com		+255 767 959 016	AFF/FIN				
LEGENDARY EXPEDITIONS (MWIBA HOLDINGS LTD)	A	73	Ilboru	2.3	0-5 km	arusha	info@legendaryexpeditions.co.tz		+255 272508917	TO/MAIN	Y			
Lion King Adventures (King Kidaisho)	A	73	Ilboru	2.3	0-5 km	arusha	info@lionkingadventures.com	www.lionkingadventures.com	+255 754 371 242	TO/MAIN				
Migada Adventures Tours and Safaris	A	73	Ilboru	2.3	0-5 km	arusha	info@migadadventures.com	migadadventures.com	+255 27 2520156	TO/MAIN	Y			
Mrembo Safaris	A	73	Usa River	8	6-10 km	tengeru	info@mrembosafaris.com	www.mrembosafaris.com	+255 768 266 706 | +255 746 477 070	TO/DMC/TREK/MAIN				
Mshele Tanzania Adventures	A	73	Usa River	5.6	6-10 km	duluti	info@msheleadventures.com	msheleadventures.com	+255 767 396 356	TO/DMC/TREK/MAIN				
NATURE INSPIRIT TRAVEL	A	73	Ilboru	2.3	0-5 km	arusha	info@natureinspirit.com	www.natureinspirit.com	+255 756 265 216	TO/MAIN				
Nature Responsible Safaris Ltd	A	73	Arusha City (Sakina)	10.4	11-15 km	kisongo	info@natureresponsiblesafari.com	www.natureresponsiblesafari.com	+255 784 870 444	TO/MAIN				
Papagei Tours and Safaris	A	73	Arusha City (Sakina)	5.6	6-10 km	ngaramtoni	info@papageitours.com	www.papageitours.com	+255 782 712082	TO/DMC/TREK/MAIN				
PwC Tanzania	A	73	Ilboru	1.7	0-5 km	philips	info@pwc.co.tz	www.pwc.co.tz	+255 27 254 8881 | +255 766 488 236	AFF/FIN				
Safari Crew Tanzania	A	73	Ilboru	2.3	0-5 km	arusha	safari@safaricrewtanzania.com	www.safaricrewtanzania.com	+255 686 905 560	TO/MAIN				
Serengeti Pride Safaris tour co.	A	73	Ilboru	2.3	0-5 km	arusha	erika@serengetipridesafaris.com	www.serengetipridesafaris.com	+255 (0) 785 353 534	TO/MAIN	Y			
SIDAI DESIGNS (Safari Atelier)	A	73	Ilboru	2.4	0-5 km	kanisa road	safaris@safariatelier.com	www.safariatelier.com	+255 766 100 564 | +1.415.235.6802	DMC/AFF				
SNOW AFRICA ADVENTURES	A	73	Ilboru	1.6	0-5 km	mianzini	info@snowafricaadventure.com	snowafricaadventure.com	+255 766 657 854 | +255 784 696 796	TO/MAIN				
Tanger Safaris	A	73	Kijenge	5.7	6-10 km	kiseriani	info@tangersafaris.com	www.tangersafaris.com	+255 693 521 920	TO/DMC/TREK/MAIN				
Tanzania Classic Tours	A	73	Kijenge	5.7	6-10 km	kiserian	info@tanzaniaclassictours.com	tanzaniaclassictours.com	+255 757 899 709	TO/DMC/TREK/MAIN				
Termite Tour Travel	A	73	Kijenge	5.5	6-10 km	moshono	info@termitetourtravel.com	termitetourtravel.com	+255 793 827 779 | +255 764 253 142	TO/DMC/TREK/MAIN				
Wild Ways Tanzania Adventure	A	73	Kijenge	5.5	6-10 km	moshono	info@wildwaystanzania.com	wildwaystanzania.com	+255 784 92 69 69 | +255 767 015 994	TO/DMC/TREK/MAIN				
Extraordinary Experience Ltd	A	72	Ilboru	2.3	0-5 km	arusha	extraordinarexperience@gmail.com		+255 765 404 470	TO/DMC/TREK/MAIN				
Kitamu Africa LTD	A	71	Ilboru	2.3	0-5 km	arusha	kitamuafrica@gmail.com	kitamuhouse.com	+255 786 487 727	AFF				
Mbasha Holdings Ltd	A	71	Ilboru	1.6	0-5 km	mianzini	rlmbasha@yahoo.com	mbashaholdings.com	+255 627 223 408	AFF				
Sabrahm Consulting Ltd	A	71	Ilboru	2.3	0-5 km	arusha	sabrahmconsulting@gmail.com	www.sabrahmconsulting.com	+255745 763 923 | +255 681 268 640	AFF				
Safari Wholesalers and Retailers Limited	A	71	Ilboru	2.3	0-5 km	arusha	safariwholesalers@gmail.com		+255 783 999 508 | +255 794 746 276	AFF				
PARADIES SAFARIS LTD	A	70	Ilboru	2.3	0-5 km	arusha	info@paradiessafaris.com	www.paradiessafaris.com		TO/DMC/MAIN		1990		
Popote Africa Adventures	A	70	Boma Ngombe	22.8	21-25 km	moshi	info@popoteafrica.com	popoteafrica.com	+255 785 190 784 | +255 757 190 784	TO/DMC/TREK/MAIN				
Maasai Wanderings Limited	B	69	Ilboru	2.3	0-5 km	arusha		www.maasaiwanderings.com	+255 755 984925	TO/MAIN	Y			
Safari Tanzania	B	69	Usa River	13.6	11-15 km	momela	info@safaritanzania.com	safaritanzania.com	+255 753 198 198	TO/DMC/TREK/MAIN				
Serengeti Big Cats Safaris Ltd	B	69	Ilboru	2.3	0-5 km	arusha		www.serengeti-big-cats-safaris.com	+255 (0)755 876 888 | +255 (0)787 876 888	TO/MAIN	Y			
Top Nature Tanzania Safari	B	69	Ilboru	2.3	0-5 km	arusha	deneen@topnaturesafaris.com		+255 786 80 55 30	TO/DMC/MAIN				
African Scenic Safaris Ltd	B	68	Boma Ngombe	22.8	21-25 km	moshi	info@africanscenicsafaris.com	www.africanscenicsafaris.com	+255 783 080 239	TO/DMC/TREK/MAIN	Y			
Afrishare Trekking and Safaris	B	68	Arusha City (Sakina)	2.8	0-5 km	soweto	info@afrisharetrekkingandsafaris.com	www.afrisharetrekkingandsafaris.com	+255754025233	TREK				
AMREF Flying Doctors	B	68	Ilboru	2.3	0-5 km	arusha	info@flydoc.org	www.flydoc.org	+255745716581	AFF				
Ascend Tanzania	B	68	Arusha City (Sakina)	0	0-5 km	kwa idd	fred@ascendtanzania.com	www.ascendtanzania.com	+255 763 586 729	TREK				
Basecamp Afromaxx Ltd	B	68	Boma Ngombe	22.8	21-25 km	moshi	mail@afromaxx.com	www.afromaxx.com	+49 3629 677 33 99 | +255 684 450 458	TO/DMC/MAIN				
Beautiful African Gemstones Ltd (House of Gems Tanzania)	B	68	Ilboru	2.3	0-5 km	arusha	info@houseofgemstz.co.tz		+255 758 857 000 | +255 752 857 000	AFF				
GADGETRONIX	B	68	Ilboru	2.3	0-5 km	arusha	judith@gadgetronix.net	www.gadgetronix.net	+255 677083622	AFF				
Greenlink	B	68	Usa River	0	0-5 km	usa river	info@greenlink-regen.com	www.greenlink-regen.com	+255 672 328 283	AFF				
Gypsy Tours and Safaris Limited	B	68	Boma Ngombe	22.8	21-25 km	kilimanjaro	trip@gypsytanzaniatours.fun	gypsytanzaniatours.fun	+255673454941 | +255762329489	TO/DMC/TREK/MAIN				
Kilele Climb Tours	B	68	Ilboru	2.3	0-5 km	boma road	info@kileleclimb.com	www.kileleclimb.com	+255 787914991 | +255718365777	TREK				
KILIMANJARO ADVENTURE SAFARI CLUB (KASC)	B	68	Ilboru	1.6	0-5 km	mianzini	makonindesafari@gmail.com	www.kilimanjarotrekk.com	+255 784 273 229	TO/MAIN				
Local Moshi adventures Limited	B	68	Boma Ngombe	22.8	21-25 km	kilimanjaro	info@localmoshi.com	www.localmoshi.com	+255 782 985 005 | +255-756-985005	TO/DMC/TREK/MAIN				
MajorityMart Suppliers	B	68	Ilboru	2.3	0-5 km	arusha	info@majoritysuppliers.com	majoritysuppliers.com	+255 767 319 494 | +255 767 368 911	AFF				
Miracle Experience	B	68	Ilboru	2.3	0-5 km	arusha	balloon@miracleexperience.co.tz	miracleexperience.co.tz	+255 789 300 009	MAIN				
NSK HOSPITALS LTD	B	68	Ilboru	2.3	0-5 km	arusha	ijaz.lalji@nsktz.com		+255 626 221 331	AFF				
Sadio Events	B	68	Ilboru	2.3	0-5 km	arusha	info@sadioevents.co.tz	www.sadioevents.com	+255767604705	AFF				
Sibusiso Foundation	B	68	Ilboru	2.3	0-5 km	arusha	info@sibusiso.com	www.sibusiso.com	+255 759 334 793 | +255 683 967 724	NGO				
TAMEGA ADVENTURE & SAFARIS LTD	B	68	Boma Ngombe	22.8	21-25 km	moshi	Aggrey.makia@tamegasafaris.co.tz		+255 755 538 877 | +255 713 272 127	TO/DMC/TREK/MAIN				
Tanzania Choice Safaris	B	68	Ilboru	2.3	0-5 km	arusha	safaris@tanzaniachoicesafaris.com	www.tanzaniachoicesafaris.com	+255 763 973 757	MAIN				
TANZANIA FEDERATION OF TOURISM SERVICE PROVIDERS	B	68	Ilboru	2.3	0-5 km	arusha	tfsp.tanzania@gmail.com	www.tanzaniaporters.org	+255 763 040 649 | +255 656 171 086	AFF/NGO				
Taste of Kilimanjaro Adventures (T) Limited	B	68	Boma Ngombe	22.8	21-25 km	kilimanjaro	frank@tasteofkilimanjaro.com	www.tasteofkilimanjaro.com	+255622521909 | +255769468524	TO/DMC/TREK/MAIN				
Teamwise Tanzania Travel Limited	B	68	Ilboru	2.3	0-5 km	arusha	info@teamwise.travel		+255784393538 | +255686190800	DMC				
Warriors of Africa Safari	B	68	Kijenge	5.5	6-10 km	moshono	warriorsofafricasafari@gmail.com	warriorsofafricasafari.com	+255 766 121 379	TO/DMC/TREK/MAIN				
West Wild Limited	B	68	Boma Ngombe	21.3	21-25 km	shanty town	booking@westwildadventure.com	westwildadventure.com	+255 746 379 453	TO/DMC/TREK/MAIN				
Carnivores Safaris	B	67			unknown		info@carnivoressafaris.co.tz	www.carnivoressafaris.co.tz	+255 784 360 721	TO/DMC/MAIN				location not published by TATO - verify
Dismass Kilimanjaro Experience LTD	B	65			unknown		info@kilimanjaroexperience.com	kilimanjaroexperience.com	+255 787 369 888 | +255 783 821 609	TO/DMC/TREK/MAIN				location not published by TATO - verify
Karine & Kitanga Safaris Limited (K&K Safaris)	B	65	Ilboru	2.3	0-5 km	arusha	infos@kandksafaris.com	kandksafaris.com	+33 6 98 70 66 73	TO/DMC/TREK/MAIN				
KARIS EXPEDITIONS LTD	B	65			unknown		hello@karisexpeditions.com	karisexpeditions.com	+255741505884	TO/DMC/TREK/MAIN				location not published by TATO - verify
KIRENGO TOURS AND SAFARIS LIMITED	B	65	Ilboru	2.3	0-5 km	goliondoi	info@kirengotours.com	www.kirengotours.com	0754040939	TO/DMC/MAIN				
Maradawa Tours Company Limited	B	65	Ilboru	2.3	0-5 km	arusha	info@maradawa.com	maradawa.com	+34 615 40 67 37	TO/DMC/TREK/MAIN				
Marangu forex bureau	B	65	Arusha City (Sakina)	2.5	0-5 km	pangani	info@mfb.co.tz		+255 754 628 124	AFF/FIN				
