name	segment	campus	km	size_evidence	headcount	contact_name	contact_role	email	phone	address	education_angle	source_url	status
CORTO SAFARIS Ltd	Safari operator	Ilboru	2.3	Team page lists 20 named staff: 2 founders, 2 directors, trip designer, ops assistant, admin, 3 mechanics, 9 safari guides, 1 mountain guide	20	Lilou (surname not published)	Directrice Generale	contact@cortosafaris.com		Neema House Road, P.O. Box 12267, Arusha		https://cortosafaris.com/agence-tanzanie/	OK
Parks East Africa Ltd	Safari operator	Ilboru	2.3	"Site counters: ""20+ Our Local Guides"", ""20+ Years of Travel Experience""; Tanzanian family-owned with its own vehicle workshop in Arusha"	20	Emmanuel Wera	Incoming principal (son of founders Jubilant and Rose)	office@parkeastafrica.com	+255 754 862 557	P.O. Box 747, Arusha (postal only)	"States a commitment to ""a better future for the youth of Tanzania"" - no named programme"	https://parkeastafrica.com/about-us	OK
Serengeti Big Cats Safaris Ltd	Safari operator	Ilboru	0.5	Team section lists 15 named staff with roles	15	Cecile (surname not published)	Directrice Marketing / agency lead, co-founder	marketing@serengeti-big-cats-safaris.com	+255 767 070 880	P.O. Box 13036, Ilboru Visiwani, Arusha	Runs its own NGO, Tumaini Home Foundation children's village at Rhotia; with Enfrance du Monde built a water tower, kitchen and toilets for 3 schools; USD 20 per traveller funds it	https://www.serengeti-big-cats-safaris.com/lagence/	OK
Matembezi Company Ltd	Safari operator	Ilboru	2.4	"Home page lists 13 named guides (one in memoriam); about page: ""Four partners stand behind Matembezi"""	12	Stephanie Kuerzinger	Management / partner	stephanie@matembezi.co.tz	+255 677 019 622	Mringa Estate, Dodoma Road, Arusha	Partners with The Plaster House, Ujamaa-CRT, Carbon Tanzania, Friends of Maziwe	https://matembezi.co.tz/contact-us/	OK
Safaris-R-Us Ltd	Safari operator	Kijenge	5.5	Our Team page lists 11 named people: 2 directors, 5 expert guides, accounts manager, sales/reservations, transfer driver	11	Richard Sisia	Director (co-founder with Gemma Sisia)	info@safaris-r-us.com	+255 626 249 125	Moshono, Arusha	Strongest education affinity on the list - co-founder Gemma Sisia founded The School of St Jude; the site actively promotes St Jude and Orkeeswa Secondary School	https://safaris-r-us.com/our-team/	OK
Elewana Arusha Coffee Lodge	Hotel / lodge group	Arusha City (Sakina)	3.0	30 Plantation Houses; part of the Elewana Collection group				reservations@elewana.com	+255 784 250 630	Dodoma Road, Burka Coffee Estate, Arusha	Land & Life Foundation: Wildlife Warrior education programme reaching up to 2,200 children; school scholarships; over USD 300,000 to primary schools near Elewana properties over five years	https://www.elewanacollection.com/about-elewana/the-land-life-foundation	OK
Grumeti Expeditions Ltd (Lemala Camps)	Safari operator	Ilboru	2.0	"Operates 9 camps and lodges across Tanzania and Uganda; ""Our People"" page says nearly all team members come from communities near the camps"				res@lemalacamps.com	+255 682 933 933	Plot 47, Sekei Road, Jumuia Area, P.O. Box 14529, Arusha	Upcycles plastic into school desks and chairs; donates reusable sanitary pads to schoolgirls; internships for disadvantaged young women and men	https://www.lemalacamps.com/community-conservation/	OK
Easy Travel and Tours Ltd	Safari operator	Ilboru	2.3	"States ""a staff comprising of an 80% female workforce""; fleets of safari vehicles, driver-guides with 15-25 years experience"		Sayyedah and Musaddiq (surnames not published)	Directors	info@easytravel.co.tz	+255 754 400 141		Donates resources to support education in rural Maasai villages; sponsored 75 cataract operations; KPAP member	https://www.easytravel.co.tz/impact/	OK
CHELI & PEACOCK SAFARIS (T) LTD	Safari operator	Ilboru	2.3	our dedicated team has more than 100 years of collective experience; four regional offices (Kenya, Tanzania, Zanzibar, Rwanda)		Shannon Everard	USA & Canada Sales Manager (no Tanzania-based manager published)	dutymanager.tanzania@chelipeacock.com	+255 762 784 565	Sopa Plaza, 99 Serengeti Road, Arusha	Land & Life Foundation, USD 1 per guest night; states partnerships with local schools and communities; AMREF member	https://chelipeacock.com/contact	OK
Arusha Technical College	College	Arusha City (Sakina)	1.8	32 TET programmes (20 diploma, 12 bachelor) plus 18 VET programmes; no staff number published		Prof. Musa N. Chacha	Rector	rector@atc.ac.tz	+255 27 297 0056	Junction of Moshi-Arusha and Nairobi Roads, P.O. Box 296, Arusha	Already runs staff-welfare bodies: ATC-SACCOS, Chama cha Maafa, THTU/RAAWU unions and a health centre - a natural route for a payroll-linked benefit	https://www.atc.ac.tz/top_leadership	OK
Simba Safaris Ltd	Safari operator	Kijenge	5.5	"over 54 years of expertise and ""a team of expert hosts, guides, and excursion managers""; no number published"		Firoz Simba	Founder	marketing@simbasafaris.co.tz	+255 27 297 0735	47 Themi Road, Njiro, Arusha 1207		https://simbasafaris.com/contact-us	OK
ROY SAFARIS LTD	Safari operator	Ilboru	2.4	Site recently rebuilt; no about or team page published				enquiries@roysafaris.co.tz	+255 27 297 0713	2 Serengeti Road, P.O. Box 50, Arusha		https://roysafaris.co.tz/contact-us/	OK
BUSHBUCK SAFARIS LIMITED	Safari operator	Ilboru	2.3	States all driver-guides are permanently hired full-time with salary, accommodation and meals; own fleet of 4x4s; no number published		Mustafa Panju	Managing Director	bushbuck@bushbucksafaris.co.tz	+255 738 777 999		Permanent-employment model makes a payroll benefit unusually easy to attach	https://www.bushbuckltd.com/managing-director	OK
Institute of Accountancy Arusha (IAA)	College	Kijenge	4.9	No staff number published		Prof. Eliamani Sedoyeka	Rector	iaa@iaa.ac.tz	+255 27 297 0232	P.O. Box 2798, Njiro Hill, Arusha		https://ceo-roundtable.co.tz/member/institute-of-accountancy-arusha/	THIN
St. Augustine University of Tanzania - Arusha Campus	University	Arusha City (Sakina)	2.1	No staff number published		Rev. Dr Charles G. Rufyiriza	Director	sautarusha@saut.ac.tz	+255 768 669 696	Ngarenaro, Kwa Father Babu Street, P.O. Box 12385, Arusha	No scholarship programme yet; students directed to HESLB loans	https://sautarusha.ac.tz/contact/	THIN
St. Elizabeth Hospital Arusha	Hospital	Arusha City (Sakina)	2.0	just over one hundred beds per directory listing (beds, not staff)					+255 27 254 4417	P.O. Box 498, Ngarenaro, Arusha	Hosts supervised student clinical placements	https://www.123tanzania.com/	THIN
Aga Khan Health Services - Arusha	Clinic	Ilboru	2.5	Outreach polyclinic rather than a full hospital; no staff number				arusha.outreach@akhst.org	+255 655 231 233	Seth Benjamin Street, Block H, Area F, Plot 506, Arusha		https://agakhanhospitals.org/en/outreach-health-centres-tanzania	THIN
SNV Tanzania	NGO	Kijenge	0.9	17 projects in Tanzania; offices in Dodoma, Arusha, Dar, Mwanza, Sumbawanga; in country since 1971		Mary Rauscher	Interim Country Director, Tanzania	tanzania@snv.org	+255 22 260 0340	No Arusha street address published; country office in Dar es Salaam	Trains clinicians and sanitation workers in Arusha; strong development-sector alignment	https://www.snv.org/country/tanzania	OK
Gran Melia Arusha	Hotel	Kijenge	0.6	171 rooms; 6 restaurants and bars; 9 event rooms for 1,285 people. No staff number published				gran.melia.arusha@melia.com	+255 746 982 400	Simeon Road, P.O. Box 1184, Arusha 23110		https://www.melia.com/en/hotels/tanzania/arusha/gran-melia-arusha	OK
WILDERSUN SAFARIS & TOURS (T) LTD	Safari operator	Kijenge	6.0	About page names 4 family members plus an unnamed team of driver guides		Lillian Nunes	General Manager (since 2009)	operations@wildersuntanzania.com	+255 754 315 177	Plot 1 Block A, Njiro, Arusha		http://www.wildersuntanzania.com/about-us	OK
Wilkinson Tours Ltd	Safari operator	Usa River	0.0	Sister company African View (T) Ltd under the same directors; lodges of 23 rooms, 12 tents, 6 tents		Horst Bachmann	Director (with Debbie Bachmann)	info@wilkinson-tours.com	+255 784 805 259	At African View Lodge, Momella Road, P.O. Box 737, Usa River, Arusha	Closest operator on the list to the Usa River campus - walking distance	https://wilkinson-tours.com/about/contact-us/	OK
NORTHLAND SAFARIS LTD	Safari operator	Usa River	0.0	Team page names 3 Tanzania-based staff plus a North America representative family	3	George Munge	Founder & Safari Expert	info@northlandsafaris.com	+255 788 520 000	Plot 1, Block B, Nyerere Road, Usa River, P.O. Box 1662, Arusha	On the Usa River campus doorstep	https://northlandsafaris.com/meet-our-team/	OK
Serengeti Pride Safaris	Safari operator	Usa River	3.0	"About page names 5 people plus a generic ""Office Staff"" entry"	5	Lema Peter	Co-Founder & Guide	info@serengetipridesafaris.com	+255 775 999 002	P.O. Box 764, Usa River, Uraki-Makumira Road Plot 217	Pack for a Purpose and KPAP member	https://www.serengetipridesafaris.com/about	OK
Earthlife Expeditions Company Limited	Safari operator	Ilboru	2.3	"About page claims ""a team of 40+ experts""; team page shows 8 named staff - treat the 40+ as unverified"	8	Catherine Haule	Managing Director		+255 745 359 096	2nd Floor Block 86, Saba General Building, Raskazone Street, P.O. Box 16353, Arusha		https://www.earthlifeexpeditions.com/about-us/our-team/	OK
ALLEN TANZANIA SAFARIS	Safari operator	Ilboru	1.9	Team page shows 6 cards covering 5 unique names; bios are unedited template placeholders	5	Allen Mnyenye	Director	info@allentanzaniasafaris.com	+255 783 379 526	Kaloleni Avenue Street, DENSO Building Floor 2, P.O. Box 15632, Arusha		https://allentanzaniasafaris.com/about-us/	OK
LEGENDARY EXPEDITIONS (MWIBA HOLDINGS LTD)	Safari operator	Arusha City (Sakina)	4.0	9 Auberge safari camps and lodges plus Arusha and Cape Town offices; no staff numbers				enquiries@legendaryexpeditions.co.tz	+255 787 993 077	Selian Coffee Estate, Namanga Road, Arusha	Cites economic empowerment and education initiatives in nearby communities	https://www.legendaryexpeditions.co.tz/our-legacy	OK
Base Camp Tanzania	Safari operator	Arusha City (Sakina)	6.7	No team page published		Achmed Phillips		management@basecamptanzania.com	+255 784 186 422	Golden Rose Arcade, Ground floor, 14 Middleton Rd, P.O. Box 568, Arusha		https://basecamptanzania.co.tz/contact/	OK
Africa Travel Bureau Ltd	Safari operator	Ilboru	2.3	Management page names 2 directors; separate pages for office experts and local guides; own Arusha offices and own vehicle fleet		Joseph David	Director, Strategy & Stakeholder Engagement		+255 713 625 788	Arusha (no street address published)		https://www.africatravelbureau.com/about/management-team	OK
KILI VIKINGS LIMITED	Safari operator	Ilboru	2.3	Team of guides, chefs and porters with ongoing training; fleet of late-model Land Cruisers; no numbers		Charlie Richard	Lead (15+ years climbing experience)	info@kilivikings.com	+255 769 654 036		Contributes a share of profits to Kilimanjaro-region orphanages, stating support for over 200 children	https://kilivikings.com/about-us/	OK
Nature Discovery	Safari operator	Ilboru	2.3	30+ Years Experience; recommended partner for 20+ specialist agents; no staff number				info@naturediscovery.com	+255 739 971 859	P.O. Box 10574, Arusha	Helped develop Arusha Bicycle Centre social enterprise with a youth cycling academy; KPAP porter partner; promotes women porters into guide roles	https://naturediscovery.com/about/responsible-tourism	OK
Krisha African Safaris Ltd	Safari operator	Kijenge	2.0	"Refers to ""our staff"" and ""a team of experienced multi-lingual driver guides""; no number"				ceo@krishasafaris.com	+255 784 510 194	NHC Flats House 15, Themi Primary School Road, P.O. Box 1127, Arusha		https://www.krishasafaris.com/about-us	OK
KIBO GUIDES (T) LTD	Safari operator	Arusha City (Sakina)	10.4	Meet our dedicated team but no individuals listed		Willy Chambulo	Founder			Plot 16 Mateves, Kisongo, P.O. Box 8281, Arusha	"TANAPA 2019 award for conservation and sustainable tourism; mission to ""improve the welfare of Tanzanians through tourism"""	https://www.kiboguides.com/about	OK
PAJOTA SAFARIS LTD	Safari operator	Arusha City (Sakina)	0.5	About page shows founders plus three team group photos; no count		Pascaline (surname not published)	Director of the Tanzania agency	info@pajotasafaris.com	+255 787 135 995	Sakina, off Arusha-Namanga Road, P.O. Box 15051, Arusha	On the Sakina campus doorstep	https://www.pajota-safaris.com/en/read-more	OK
AFRICA SAFARI EXPERTS LTD	Safari operator	Kijenge	1.5	Own Arusha office team plus licensed guides; 3 Arusha staff shown, no count		Adili Sirikwa	Co-owner, runs on-site operations in Arusha	info@safari-experts.de	+255 754 322 085	Nelson Mandela Road opposite Mount Meru Petrol Station, Kijenge, Arusha	Travelife Partner with a published child-protection policy	https://safari-experts.de/ueber-uns	OK
Augustine's Adventure Africa ltd (AA Africa)	Safari operator	Ilboru	2.3	a strong team of guides; no number published		Augustine Minja	Owner / Managing Director (Eva Minja is Director of Accounts and Reservations)	info@aaafrica.net	+255 787 477 144	P.O. Box 11726, Arusha (postal only)		https://aaafrica.net/about-us/about-usmessage/	OK
Maasai Wanderings Limited	Safari operator	Ilboru	2.3	Team page describes guides, camp staff, chefs and mechanics but publishes no numbers		Donna Duggan	Co-founder	info@maasaiwanderings.com	+255 742 930 833	Arusha (no street address published)		https://www.maasaiwanderings.com/our-team/	OK
Afroriginal Tours & Safaris Ltd	Safari operator	Ilboru	0.0	About page names only the two owners		Fay Amon	Co-owner (with Desiree de Ridder)	info@afroriginaltours.com	+255 732 979 251	P.O. Box 16342, Ilboru Road, Arusha	On the Ilboru campus doorstep	https://afroriginaltours.com/about-us/afroriginal/	OK
Swala Safaris LTD	Safari operator	Arusha City (Sakina)	0.5	No team detail published				info@swalasafaris.com	+255 738 709 014	Banda La Maziwa, Sakina, Elerai, Arusha-Namanga Road, P.O. Box 207, Arusha 23106	On the Sakina campus doorstep	https://swalasafaris.com/contact-us/	OK
Shidolya Tours & Safaris Ltd	Safari operator	Kijenge	0.5	No team page published				admin@shidolya.co.tz	+255 769 680 497	Kimandolu, P.O. Box 1436, Arusha	On the Kijenge campus doorstep	https://shidolyasafaris.com/index.php/contact/	THIN
Migada Adventures Tours and Safaris	Safari operator	Ilboru	2.3	No team detail published				info@migadadventures.com	+255 787 370 023	Arusha (no street address published)	Community Impact section states it funds educational programmes and vocational training	https://migadadventures.com/about	THIN
Tandala Expeditions Limited	Safari operator	Kijenge	2.9	over 3 decades of field experience; no staff numbers					+255 784 194 194	P.O. Box 11540, Arusha		https://www.tandala.com/	THIN
Shaw Safaris Ltd	Safari operator	Ilboru	2.3	No detail published; live site is shawsafaris.co.tz, not the .com in the directory				hello@shawsafaris.co.tz	+255 768 945 735			https://shawsafaris.co.tz/about-us	THIN
INTREPID TRAVEL TANZANIA LIMITED	Safari operator	Ilboru	1.7	Arusha office listing gives 3 named staff emails; global site publishes no Arusha office page		Elirehema Mshana		Elirehema.Mshana@intrepidtravel.com	+255 787 906 871	PAPU Tower - Philips, 6101 Arusha		https://tatotz.org/portfolio/intrepid-travel-tanzania-limited/	THIN
ALEX WALKER SAFARIS / Serian	Safari operator	Ilboru	2.3	Contact page names 4 reservations staff across Kenya and Tanzania camps; 8 camps, 3 in Tanzania		Rhoda Mureeithi	Reservations - Tanzania (Serengeti North / Lamai)	safaris@serian.com			Publishes only Kenyan phone numbers and no Arusha address despite Tanzanian registration	https://serian.com/enquiry/	THIN
MAASAI MAGIC SAFARI COMPANY LTD	Safari operator	Ilboru	2.3	team of dynamic individuals and a fleet of 4x4 Land Cruisers; no numbers				info@maasai-magic.com		P.O. Box 16051, Arusha (postal only)		https://maasai-magic.com/about-us/	THIN
Anderson's African Adventures Ltd	Safari operator	Ilboru	2.3	owner run tour operator with more than 30 years of experience; own office and workshop on the Arusha outskirts							Real site is andersons.co.tz, not the .co.za in the directory; homepage is a placeholder	https://andersons.co.tz/	NO SITE
Wildlife Explorer E.A. Ltd	Safari operator	Ilboru	2.3	Redirects to explorertravelco.com; only a UK address and phone published				info@explorertravelco.com			Appears to have moved to the UK - deprioritise	https://www.explorertravelco.com/contact	NO SITE
Yembi Adventure Ltd	Safari operator	Ilboru	2.3	Directory website field is wrong: 123tanzania.com is a general business directory, not this company								https://www.123tanzania.com/	NO SITE
KILAWENI LTD	Safari operator	Ilboru	2.3	Site unreachable								https://www.kilaweni.com	NO SITE
Kudu Safaris ltd	Safari operator	Ilboru	2.3	Site unreachable								https://www.kudusafaris.co.tz	NO SITE
Sunny Adventure Safaris Ltd	Safari operator	Ilboru	2.3	Site returned 403 to every route								http://www.sunnyadventures.co.tz/	NO SITE
Kilimanjaro Outfitters Limited	Safari operator	Ilboru	2.3	Directory website field is wrong: kiliadventures.com is a US Kilimanjaro blog, not this company								http://www.kiliadventures.com/about	NO SITE
