name	tier	score	campus	km	band	locality	email	website	phone	tato_cats	established	founded	size_check	notes
Faune Flore Ltd	A	85	Ilboru	1.9	0-5 km	kaloleni	info@faune-flore.com	www.faune-flore.com	+255 784 378153 | +255 784 680068	TO/DMC/TREK/MAIN				
FULL PACKAGE ADVENTURES LTD	A	85	Arusha City (Sakina)	2.5	0-5 km	pangani	info@fullpackageadventures.com	www.fullpackageadventures.com	+255 741 036 745	TO/DMC/TREK/MAIN				
Go Expeditions Africa Limited	A	85	Ilboru	2.3	0-5 km	arusha	info@goexpeditionsafrica.com	www.goexpeditionsafrica.com	+255781654040 | +255754483431	TO/DMC/MAIN				
Great Image Expedition Ltd	A	85	Ilboru	2.3	0-5 km	arusha	info@gie.co.tz	www.gie.co.tz	+255 754 663 507	TO/DMC/TREK/MAIN				
Hazzes Adventure Limited	A	85	Ilboru	2.3	0-5 km	arusha	info@hazzesadventure.com	hazzesadventure.com	+255 754024755 | +255786065834	TO/DMC/TREK/MAIN				
HP Safaris (T) Limited.	A	85	Ilboru	2.3	0-5 km	arusha	paul@hpsafaris.co.tz	www.hors-pistes-en-tanzanie.fr	+255 684 715850	DMC/TREK/MAIN				
JACKPOT SAFARIS (TZ) LTD	A	85	Ilboru	2.3	0-5 km	sokoine	info@jackpotsafaris.co.tz		+255 754315106 | +255 784 315106	TO/DMC/MAIN				
JM Tours Ltd	A	85	Ilboru	2.3	0-5 km	arusha	info@jmtours.com	www.jmtours.co.tz	+255 747 099 995	TO/DMC/MAIN				
JOASH AFRICA WILDERNESS INSIGHT LTD	A	85	Ilboru	2.3	0-5 km	arusha	info@jafricasafari.com	jafricasafari.com	+255784950540 | +255620190792	TO/DMC/TREK/MAIN				
KIBO SLOPES T LIMITED	A	85	Arusha City (Sakina)	4.9	0-5 km	kiranyi	arusha@kiboslopes.com	kiboslopes.com	+255 (0) 699 708 419	TO/DMC/TREK/MAIN				
Kibowhy Safaris Ltd	A	85	Ilboru	2.3	0-5 km	arusha	info@kibowhysafaris.co.tz	kibowhysafaris.co.tz	+255 763 201 265	TO/DMC/TREK/MAIN				
KILIMANJARO UNFORGETTABLE LIMITED	A	85	Ilboru	2.3	0-5 km	arusha	info@kilimanjarounforgettable.com	kilimanjarounforgettable.com	+255 687 492 288	TO/DMC/TREK/MAIN				
Kojuu Safaris Limited	A	85	Ilboru	2.3	0-5 km	arusha	info@kojuusafaris.com	www.kojuusafaris.com	+255 689 645 801 | +255 654 178 796	TO/DMC/TREK/MAIN				
KUKUA TOURS AND SAFARIS LIMITED	A	85	Ilboru	2.3	0-5 km	arusha cbd	reservations@kukuasafaris.com	kukuasafaris.com	+255 747 309 113	TO/DMC/TREK/MAIN				
LEKEN ADVENTURTE LTD	A	85	Ilboru	1.9	0-5 km	kaloleni	info@lekenadventure.com	www.lekenadventure.com	+255 753 775 849	TO/DMC/TREK/MAIN				
LIVINGSTONE'S AFRICA LTD	A	85	Ilboru	2.3	0-5 km	arusha	enquiries@livingstonesafrica.com	www.livingstonesafrica.net	+255 787 116 577	TO/DMC/MAIN				
MAAPE TANZANIA SAFARIS LTD	A	85	Ilboru	2.3	0-5 km	arusha	info@maapetanzaniasafaris.com	maapetanzaniasafaris.com	+255788913757 | +1(301)854-2972	TO/DMC/TREK/MAIN				
Meijo Safaris Limited	A	85	Ilboru	2.3	0-5 km	arusha	info@meijosafaris.com	www.meijosafaris.com	+255 785 552680 | +255 688 201068	TO/DMC/TREK/MAIN				
MEMORABLE SUNRISE TO SUNSET SAFARIS LIMITED	A	85	Usa River	0	0-5 km	usa river	info@memorablesafari.com	www.memorablesafari.com	+255 766 169 619 | +255 (0) 689 767 768	TO/DMC/TREK/MAIN				
MERU SLOPES TOURS AND SAFARIS LTD	A	85	Ilboru	2.3	0-5 km	sokoine	info@meruslopestours.com	meruslopestours.com	+255754583455	TO/DMC/TREK/MAIN				
MIND & SOUL (TZ) TRAVEL LTD	A	85	Ilboru	2.3	0-5 km	arusha	info@mindsoultravel.co.tz	www.mindsoultravel.co.tz	+255 786 234 070 | +255 767 320 818	TO/DMC/MAIN				
Myriad Safari LTD	A	85	Ilboru	2.3	0-5 km	arusha	info@myriadsafaris.com	myriadsafaris.com	+255 754 282 704	TO/DMC/TREK/MAIN				
OFF THE BEATEN PATH SAFARI LTD	A	85	Ilboru	2.3	0-5 km	arusha	contact@offthebeatenpathsafaris.com	www.offthebeatenpathsafaris.com	+255682375975	TO/DMC/MAIN				
Ona safari limited	A	85	Ilboru	2.3	0-5 km	arusha	jambo@ona-safari.com	www.ona-safari.com	+255 766 093 294	TO/DMC/MAIN				
PAG Tours & Safaris Limited	A	85	Ilboru	2.3	0-5 km	arusha	info@pagsafaris.com	pagsafaris.com	+255 782 906 985 | +255 755 385 878	TO/DMC/TREK/MAIN				
REGAL AFRICAN SAFARIS LIMITED	A	85	Ilboru	2.3	0-5 km	arusha	info@regal-africa.com	www.regalafricansafaris.com	+255 757 767 071	TO/DMC/MAIN				
Ro Scavenger Safaris ltd	A	85	Ilboru	2.3	0-5 km	arusha	info@roscavengersafaris.co.tz	roscavengersafaris.co.tz	+255 754 639340 | +255 754 639356	TO/DMC/TREK/MAIN				
RushTrek Tours Company LTD	A	85	Ilboru	2.3	0-5 km	arusha	bookings@rushtrektours.com	rushtrektours.com	+255761 010 281	TO/DMC/TREK/MAIN				
Safari Kings Tanzania Ltd	A	85	Arusha City (Sakina)	0.5	0-5 km	namnaga	info@SafariKings.com	SafariKings.com	+612 9053 1940 | +255 765 436 897	TO/DMC/TREK/MAIN				
Samora Explorers Ltd	A	85	Ilboru	1.6	0-5 km	mianzini	info@samoraexplorers.com	samoraexplorers.com	+255 765 766 462	TO/DMC/TREK/MAIN				
SPAZIO SAFARI LIMITED	A	85	Ilboru	2.3	0-5 km	arusha	info@spaziosafari.com	spaziosafari.com	+255 693 517 419 | +255 68 184 0504	TO/DMC/MAIN				
Sundown African Adventures LTD	A	85	Ilboru	1.5	0-5 km	sanawari	info@sundownadventuressafaris.com	sundownadventuressafaris.com	+255 68 5912 095 | +255 62 580 7860	TO/DMC/TREK/MAIN				
Tales of Tanzania Safaris Ltd	A	85	Ilboru	2.3	0-5 km	arusha	info@talesoftanzaniasafaris.com	www.talesoftanzaniasafaris.com	+255 767698483	TO/DMC/TREK/MAIN				
Tanzania Safari Bug Ltd	A	85	Ilboru	2.3	0-5 km	arusha	info@tanzania-safari-bug.com	www.tanzania-safari-bug.com	+255 787 298 159	TO/DMC/MAIN				
TMA Travels Tanzania Limited	A	85	Arusha City (Sakina)	0	0-5 km	sakina	support@monkey.travel	monkey.travel	+255683314816	TO/DMC/TREK/MAIN				
Topguides Africa Limited	A	85	Ilboru	2.3	0-5 km	arusha	info@topguidessafaris.com	topguidessafaris.com	+255 682 111 121	TO/DMC/TREK/MAIN				
UDAAY SAFARI AND TOURS LTD	A	85	Ilboru	2.3	0-5 km	arusha	info@udaaysafaris.com	www.udaaysafaris.com	+255 713 416 509 | +255 785 001 002	TO/DMC/MAIN				
Utopia Safaris Ltd	A	85	Ilboru	2.3	0-5 km	arusha	info@utopia-safaris.com	www.utopia-safaris.com	+255787664033 | +255783714288	TO/DMC/MAIN				
Wakali Company Limited (Wakali Safaris)	A	85	Ilboru	2.3	0-5 km	arusha	info@wakalisafaris.co.tz	www.wakalisafaris.co.tz	+255 738 586 109	TO/DMC/TREK/MAIN				
Wildfinder Tours & Safaris Limited	A	85	Usa River	0	0-5 km	usa river	info@wildfindersafaris.com	wildfindersafaris.com	+255 754 065 196	TO/DMC/TREK/MAIN				
Williamson Adventures Limited	A	85	Arusha City (Sakina)	0	0-5 km	sakina	info@williamsonadventures.com	williamsonadventures.com	+255 768 316 830	TO/DMC/TREK/MAIN				
Wise Safari Tanzania Limited	A	85	Ilboru	2.3	0-5 km	arusha	info@travelwisesafari.com	www.travelwisesafari.com	+255629142552	TO/DMC/TREK/MAIN				
WONDERS OF CREATION TOURS AND SAFARIS CO LTD	A	85	Ilboru	2.3	0-5 km	arusha	info@wonderfultours.com	www.wonderfultours.com	+255 689 051481	TO/DMC/TREK/MAIN				
Zanzi Trekking and Safaris Limited	A	85	Ilboru	2.3	0-5 km	arusha	info@zanzisafaris.com	www.zanzisafaris.com	+255 784 378153 | +255 784 680068	TO/DMC/TREK/MAIN				
Bearfoot Expeditions	A	82	Arusha City (Sakina)	0	0-5 km	kwa iddi	info@bearfootexpeditions.com	bearfootexpeditions.com	+255 754 368 332 | +255 739 972 480	TO/DMC/TREK/MAIN		2007		
DEBRE Safari Adventure	A	82	Ilboru	2.3	0-5 km	arusha	info@debresafari.com	www.debresafari.com	+255 785 857 829	TO/DMC/TREK/MAIN		2019		
EWA Safari Outfitters (Extreme Wilderness Adventure)	A	82	Arusha City (Sakina)	0	0-5 km	kwa idd	info@theextremewilderness.com	www.theextremewilderness.com	+255 747 999 070	TO/DMC/TREK/MAIN		2022		
LeKobe Adventures & Safaris	A	82	Arusha City (Sakina)	0	0-5 km	sakina	info@lekobeadventures.com	lekobeadventures.com	+255 676 68 1293	TO/DMC/TREK/MAIN		2022		
Pure Afro Travels	A	82	Ilboru	2.3	0-5 km	arusha	info@pure-afro.com	www.pure-afro.com	+255 784 499 119	TO/DMC/TREK/MAIN		2004		
Serengeti African Tours	A	82	Arusha City (Sakina)	0	0-5 km	sakina	info@serengetiafricantours.com	serengetiafricantours.com	+255 762 468 213	TO/DMC/TREK/MAIN		2018		
TRIUMPH TRAVEL & FILM SAFARIS LTD	A	82	Arusha City (Sakina)	10.4	11-15 km	kisongo	info@triumphsafaris.com	www.triumphsafaris.com	+255 740111118	TO/DMC/TREK/MAIN		2008		
4 X 4 ADVENTURES LTD	A	81	Ilboru	2.4	0-5 km	kanisa road	info@4x4safaris.com	www.4x4safaris.com	+255 784 673433	TO/MAIN				
ACTIVE TANZANIA ADVENTURES LIMITED	A	81	Ilboru	2.3	0-5 km	arusha city	info@activetanzania.com	www.activetanzania.com	+255 784 605 785	TO/MAIN				
AFRICA SAFARI EXPERTS LTD	A	81	Ilboru	2.3	0-5 km	arusha	office@safari-experts.com	www.safari-experts.com	+255 754-322085 | +255 789-695417	TO/MAIN	Y			
Africa Travel Bureau Ltd	A	81	Ilboru	2.3	0-5 km	arusha	info@africatravelbureau.co.tz	www.africatravelbureau.com	+255 27 2503849 | +255 755 887 229	TO/MAIN				
African Trails Ltd (Tours & Car Hire)	A	81	Ilboru	2.3	0-5 km	arusha	africantrails@habari.co.tz	www.africantrails.co.tz	+255 784 428 355 | 713 654 370	TO/MAIN				
ALEX WALKER SAFARIS LTD	A	81	Ilboru	2.3	0-5 km	arusha	safaris@serian.com	www.serian.com	+25575292222	TO/MAIN				
Augustine's Adventure Africa ltd (AA Africa)	A	81	Ilboru	2.3	0-5 km	arusha	info@aaafrica.net	www.aaafrica.net	+255 27 254 3434 | +255 787 477 144	TO/MAIN	Y			
Babji Tours & Safaris Ltd	A	81	Ilboru	2.3	0-5 km	arusha	info@babjisafaris.com	www.babjisafaris.com	+255 784 321185 | +255 27 2547306	TO/MAIN				
BENSON AND COMPANY LTD	A	81	Ilboru	2.3	0-5 km	sokoine	info@bensonandcompany.co.tz	www.bensonandcompany.co.tz	+255 626 000 999 | +255 760 444 777	TO/MAIN				
BEYOND EXPERIENCE LIMITED	A	81	Ilboru	2.3	0-5 km	arusha	info@beyondexperience-tz.com	www.beyondexperience-tz.com	+255 788 547 016	TO/MAIN				
Blessed Africa Tours and Safaris Ltd	A	81	Kijenge	5.5	6-10 km	moshono	info@blessedafricatours.com	www.blessedafricatours.com	+255 763420949	TO/DMC/TREK/MAIN				
Blue Lotus Travel & Tours Ltd	A	81	Ilboru	2.3	0-5 km	arusha	info@bluelotus.co.tz	www.bluelotus.co.tz	+255 786 566 576	TO/MAIN				
BUSHBUCK SAFARIS LIMITED	A	81	Ilboru	2.3	0-5 km	arusha	bushbuck@bushbuckltd.com	www.bushbuckltd.com	+255 786 98 98 98	TO/MAIN				
CHELI & PEACOCK SAFARIS (T) LTD	A	81	Ilboru	2.3	0-5 km	arusha	tanzania@chelipeacock.com	chelipeacock.com	+255 27 254 5145/6 | 0762 784 565	TO/MAIN	Y			
Earthlife Expeditions Company Limited	A	81	Ilboru	2.3	0-5 km	arusha	info@earthlifeexpeditions.com	www.earthlifeexpeditions.com	+255 753 891310	TO/MAIN	Y			
EPIC LUXURY SAFARIS (TOYA LIMITED)	A	81	Arusha City (Sakina)	2.7	0-5 km	unga limited	operations@epicluxurysafaris.com	www.epicluxurysafaris.com	+255 696 783 006	TO/MAIN				
Extramile International Ltd	A	81	Ilboru	2.3	0-5 km	arusha	info@extramileinternational.com	www.extramileinternational.com	+255 682 819 855 | +255 754 371 650	TO/MAIN				
GREENHIPPO TRAVELS (Askace safaris Ltd)	A	81	Usa River	0	0-5 km	usa river	office@greenhippotravels.com	www.greenhippotravels.com	+255 684 681 857	TO/MAIN				
Grumeti Expeditions Ltd	A	81	Ilboru	2.3	0-5 km	arusha	james@tourvesteastafrica.com	www.lemalacamps.com	+255 785 398 574	DMC/MAIN				
Gupta Auto Spares and Hardware Limited	A	81	Arusha City (Sakina)	2.7	0-5 km	unga limited	sales@gash.co.tz	www.gash.co.tz	+255 754 666 099 | +255 27 254 8601	AFF/AUTO				
HANSPAUL AUTOMECHS LTD	A	81	Ilboru	2.3	0-5 km	arusha	satbir@hanspaul.co.tz	www.hanspaul.co.tz	+255 756 888 864	AFF/AUTO				
KIBO GUIDES (T) LTD	A	81	Ilboru	2.3	0-5 km	arusha	info@kiboguides.com	www.kiboguides.com	Oljoro Road, Sombetini	TO/MAIN	Y			
Kilimanjaro outfitters limited	A	81	Ilboru	2.3	0-5 km	arusha	damian@honeyguide.org	www.kiliadventures.com	+255 784 294062 | 784 321819	TO/MAIN	Y			
Krisha African Safaris Ltd	A	81	Ilboru	2.3	0-5 km	arusha	ceo@krishasafaris.com	www.krishasafaris.com	+255-693-393-023 / +255-784-510-194	TO/MAIN	Y			
Lomo Tanzania Safari Ltd	A	81	Ilboru	2.3	0-5 km	arusha	info@lomotanzaniasafari.com		+255 (0)736 123 700 | +255 (0) 682 808 000	TO/MAIN				
MAKE MY SAFARI LIMITED	A	81	Ilboru	2.3	0-5 km	goliondoi	info@makemysafari.com	www.makemysafari.com	+255 622 667 667	TO/MAIN				
Matembezi Company Ltd	A	81	Ilboru	2.3	0-5 km	arusha	info@matembezi.co.tz	matembezi.co.tz	+255-732-972329	TO/MAIN	Y			
Multichoice Safaris Ltd	A	81	Ilboru	2.3	0-5 km	arusha	multichoice@habari.co.tz	www.multichoicesafaris.com	+255 784 779 977	TO/MAIN				
Ndoto Kubwa Tours and Safaris Company LTD	A	81	Kijenge	5.5	6-10 km	moshono	info@ndotokubwatours.com	ndotokubwatours.com	+255 767 100 129 | +255 738 803 030	TO/DMC/TREK/MAIN				
Nnko & Smith Safaris LTD	A	81	Usa River	0	0-5 km	usa river	nnko@nnkosmith.com	www.nnkosmith.com	+255787 500 633 | +1 (303) 875-0673	TO/MAIN				
PARADISE AND WILDERNESS LIMITED	A	81	Ilboru	2.3	0-5 km	arusha	info@paradise-wilderness.com	paradise-wilderness.com	+255 242 238 021	TO/MAIN				
Parks East Africa Ltd	A	81	Ilboru	2.3	0-5 km	arusha	office@parkeastafrica.com	parkeastafrica.com	+255-27-254-5858 | +255-(0)754862557	TO/MAIN	Y			
ROY SAFARIS LTD	A	81	Ilboru	2.3	0-5 km	arusha	enquiries@roysafaris.co.tz	www.roysafaris.co.tz	+255 27 297 0713/4/5 | +255 745 182 923	TO/MAIN				
Safaris-R-Us Ltd	A	81	Ilboru	2.3	0-5 km	arusha	info@safaris-R-Us.com	www.safaris-R-us.com	+255 27 754 566136	TO/MAIN	Y			
Sameer Parts Limited	A	81	Arusha City (Sakina)	2.7	0-5 km	unga limited	info@sameer.co.tz	sameerpartsltd.com	+255 717 726 337 | +255 775 726 327	AFF/AUTO				
Serengeti Balloon Safaris (Tourism and PR Services Ltd)	A	81	Ilboru	2.3	0-5 km	arusha	balloons@habari.co.tz	www.balloonsafaris.com	+255 27 254 8077	TO/MAIN	Y			
Shadows of Africa Ltd	A	81	Ilboru	2.3	0-5 km	arusha	info@shadowsofafrica.com	www.shadowsofafrica.com	+255 (0) 772 72 3373	TO/MAIN	Y			
Shaw Safaris Ltd	A	81	Ilboru	2.3	0-5 km	arusha	info@shawsafaris.com	www.shawsafaris.com	+255 (0)7689 45735	TO/MAIN	Y			
Shidolya Tours & Safaris Ltd	A	81	Kijenge	0.5	0-5 km	kimandolu	admin@shidolya.co.tz	www.shidolyasafaris.com	+255 754 773 655	TO/MAIN				
SIBROS (T) LIMITED	A	81	Arusha City (Sakina)	2.7	0-5 km	unga ltd	Info@sibros.co.tz	www.sibros.co.tz	+255 784 777 337	AFF/AUTO				
Simba Safaris Ltd	A	81	Ilboru	2.3	0-5 km	arusha	Simba@simbasafaris.com	www.simbasafaris.com	+255 27 2549115-9	TO/MAIN	Y			
Suniva Insurance Brokers Ltd	A	81	Ilboru	2.3	0-5 km	clock tower	md@suniva.co.tz	www.suniva.co.tz	+255 754 369 361 | +255 769 369 329	AFF		2023		
Sunny Adventure Safaris Ltd.	A	81	Ilboru	2.3	0-5 km	arusha	sunnyadventures@habari.co.tz	www.sunnyadventures.co.tz	+255 27 250 6760/6761 | +255 754 600 786	TO/MAIN	Y			
Swala Safaris LTD	A	81	Ilboru	2.3	0-5 km	arusha	info@swalasafaris.com	swalasafaris.com	+255 27 254 3544 | +255 73 297 8626	TO/MAIN	Y			
Tandala Expeditions Limited	A	81	Kijenge	2.9	0-5 km	oldadai	tandala@tandala.co.tz	www.tandala.com	+255 784 194 194	TO/MAIN				
Tanzania a la Carte Safaris Company	A	81	Kijenge	5.7	6-10 km	kiseriani	sales@tanzaniaalacarte.com	www.tanzaniaalacarte.com	+255 (0)623 434 342 | +31 (0)658 730 396	TO/DMC/TREK/MAIN				
Tanzania Serengeti Adventure Limited	A	81	Ilboru	2.3	0-5 km	arusha	jordan@abouttanzania.com	www.abouttanzania.com	+255 27 2544609 | +255 787 651124	TO/MAIN				
The Map's Edge Limited	A	81	Usa River	0	0-5 km	usa river	admin@maps-edge.com	www.maps-edge.com	+255 (0)712 733 900	TO/MAIN				
The Smiling Zebra Limited	A	81	Kijenge	6.3	6-10 km	engutoto	info@thesmilingzebra.com	www.thesmilingzebra.com	+255 746 738 808 | +255 622 110 606	TO/DMC/TREK/MAIN				
United Aviation Services Company Ltd	A	81	Ilboru	2.3	0-5 km	arusha	uas@uas.co.tz	uastanzania.com	+255-677-009-035 | +255-27-254-7569	AFF/AIR				
WILDERSUN SAFARIS & TOURS (T) LTD	A	81	Ilboru	2.3	0-5 km	arusha	operations@wildersuntanzania.com	www.wildersuntanzania.com	+255-754-650650 | +255 784 650650	TO/MAIN	Y			
Wildlife Explorer E.A. Ltd	A	81	Ilboru	2.3	0-5 km	arusha	info@wildlife-explorer.com	wildlife-explorer.com	+255 (27) 2508577	TO/MAIN	Y			
Wilkinson Tours Ltd	A	81	Ilboru	2.3	0-5 km	arusha	info@wilkinson-tours.com	www.wilkinson-tours.com	+255 784 805259	TO/MAIN	Y			
Yembi Adventure Ltd	A	81	Ilboru	2.3	0-5 km	arusha	yembi@africanonline.co.tz	www.123tanzania.com	+255 754 475924	TO/MAIN	Y			
ARUSHA LOCAL TRIPS TANZANIA LIMITED	A	80	Ilboru	2.3	0-5 km	arusha	office.arushatrips@gmail.com	www.arushatrips.com	+31 6 36163544 | +255752243063	TO/DMC/MAIN				
Dakik Expeditions LTD	A	80	Arusha City (Sakina)	2.7	0-5 km	unga limited	dakikexpeditions@gmail.com	www.dakikexpeditions.com	+255 759 666 660	TO/DMC/MAIN				
Destination Specialists Limited	A	80	Ilboru	2.3	0-5 km	arusha	destination.specialists@yahoo.com	www.destinationspecialists.co.tz	+255 712 643685 | +255 754 743685	TO/DMC/MAIN				
Kiriwe Travel and Trekking Safari Ltd	A	80	Kijenge	0.5	0-5 km	kimandolu	kiriwetravel@gmail.com	www.kiriwetravel.co.tz	+255788748494 | +255712216488	TO/DMC/TREK/MAIN				
Delight Polyclinic	A	78	Ilboru	2.3	0-5 km	arusha	appointments@delightpolyclinic.com	delightpolyclinic.com	+255 798 400 603	AFF				
Nature Discovery	A	78	Ilboru	2.3	0-5 km	arusha	info@NatureDiscovery.com	www.naturediscovery.com	+255 (0) 27 254 4063	TO/MAIN	Y	1992		
The Safari Doctors	A	78	Ilboru	2.3	0-5 km	arusha	info@thesafaridoctors.co.tz	thesafaridoctors.co.tz	+255 654 722 024 | +255 675 677 234	AFF				
African Polecat Safaris (Polecat Safaris)	A	77	Arusha City (Sakina)	2.5	0-5 km	pangani	info@africanpolecatsafaris.com	africanpolecatsafaris.com	+255 654 592 688 | +255 763 946 450	TO/DMC/TREK/MAIN				
