record_type	source_path	source_location	source_url	source_date	acquired_on	verified_on	verification_status	evidence_basis	evidence_excerpt	notes	organisation_name	organisation_domain	segment	subtype	priority	campus	distance_km	radius_tier	geocode_precision	latitude	longitude	locality	address	website	public_email	public_phone	size_evidence	headcount	education_angle	founded	licence_class	osm_id	desk_tier	desk_score	transport_band	contact_name	role	role_certainty	contact_route	shared_email	published_role_email	named_email	organisation_phone	role_phone	profile_url	channel_attribution	enquiry_author	enquiry_type	enquiry_date	date_qualification	request	platform	contact_attribution	current_relevance	campus_fit	enquiry_phone	enquiry_email	relevance_reason	proposed_offer	cta_type	hook	hook_source_url	hook_verified_on	acquisition_track_id	value_module_ids	review_status	missing_information	lead_track	record_key	welfare_fit	care_model	pdpa_risk	pdpa_risk_reason	proposed_welfare_track	track_reason	priority_score	factors_known	children_served_published	children_served_as_of	age_range_published	gender_served	schooling_arrangement_published	runs_own_school	funding_model_published	registration_published	nis_reg_no	nis_reg_date	nis_profile_url	licence_status	operator_or_umbrella	religious_affiliation_published	services	known_funders_or_partners	foreign_charity_registrations	social_media	all_emails	all_phones	volunteer_programme	volunteer_fee_published	safeguarding_policy_url	staff_count_published	latest_activity_date	red_flags	catchment_note	master_organisation_id	nearest_primary_campus	distance_to_primary_km	all_sources_json	email_type	phone_type	author_type_stated	locality_text
contact		Huruma Orphanage | TerraWatu	https://terrawatu.org/current-projects/huruma-orphanage		2026-09-22	2026-09-22	needs_review	published	TerraWatu has partnered since 2020 with Huruma Children's Centre; some children sponsored for schooling by TerraWatu supporters.		Huruma Vision Children's Home											Muriet (Kwa Mrombo)														Eusebia Paul Masawe	Guardian / head of the home (per TerraWatu)	unknown	website						https://terrawatu.org/current-projects/huruma-orphanage	Named by partner NGO TerraWatu ('Mama Eusebia Paul Masawe'); no direct route published.																				research_only		welfare_customer	WCON_huruma_vision_children_home_eusebia_paul_masawe			medium	Named individual in a care role, published by a partner organisation.																																			"[{""url"": ""https://terrawatu.org/current-projects/huruma-orphanage"", ""title"": ""Huruma Orphanage | TerraWatu"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""partner"", ""guardian"", ""schooling""], ""evidence_excerpt"": ""TerraWatu has partnered since 2020 with Huruma Children's Centre; some children sponsored for schooling by TerraWatu supporters.""}]"		unknown		
contact		About LOHADA	https://lohada.org/about-lohada/		2026-09-22	2026-09-22	verified	official	Founded 1998 by Happiness Wambura, registered October 2000; Camp Joshua and Camp Moses; funded mainly via US charity Kesho.	Current role not stated; founder since 1998. | Email is the organisation's generic address on a personal-domain provider.	LOHADA											Arusha (centre locations not stated)														Happiness Wambura	Founder	unknown	email	lovinghand2000@yahoo.com				+255754447640	https://lohada.org/about-lohada/	Named as founder on LOHADA's own About page.																				research_only		welfare_customer	WCON_lohada_happiness_wambura			risky	Named individual on a personal email domain (lovinghand2000@yahoo.com); rubric sets risky.																							"[""lovinghand2000@yahoo.com""]"	"[""+255754447640""]"											"[{""url"": ""https://lohada.org/about-lohada/"", ""title"": ""About LOHADA"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founded"", ""registration_year"", ""founder"", ""email"", ""phone"", ""funder""], ""evidence_excerpt"": ""Founded 1998 by Happiness Wambura, registered October 2000; Camp Joshua and Camp Moses; funded mainly via US charity Kesho.""}, {""url"": ""https://lohada.org/about-lohada/"", ""title"": ""About LOHADA"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""registration"", ""founder"", ""services"", ""funding"", ""contacts""], ""evidence_excerpt"": ""Registered October 2000 after informal start in 1998; founder-director named; Kesho (US) provides main funding.""}, {""url"": ""https://lohada.org/contact-us/"", ""title"": ""Contact us - LOHADA"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""email"", ""phone"", ""address""], ""evidence_excerpt"": ""Contacts: lovinghand2000@yahoo.com, +255 754 447640, P.O. Box 15495 Arusha.""}]"	shared	unknown		
contact		About LOHADA	https://lohada.org/about-lohada/		2026-09-22	2026-09-22	verified	official	Founded 1998 by Happiness Wambura, registered October 2000; Camp Joshua and Camp Moses; funded mainly via US charity Kesho.		LOHADA											Arusha (centre locations not stated)															General office	confirmed	email	lovinghand2000@yahoo.com				+255754447640		Published on LOHADA's own About and Camp Joshua pages.																				research_only		welfare_customer	WCON_lohada_general_office			medium	Organisation's shared contact on a personal-domain mailbox and mobile.																							"[""lovinghand2000@yahoo.com""]"	"[""+255754447640""]"											"[{""url"": ""https://lohada.org/about-lohada/"", ""title"": ""About LOHADA"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founded"", ""registration_year"", ""founder"", ""email"", ""phone"", ""funder""], ""evidence_excerpt"": ""Founded 1998 by Happiness Wambura, registered October 2000; Camp Joshua and Camp Moses; funded mainly via US charity Kesho.""}, {""url"": ""https://lohada.org/camp-joshua-school/"", ""title"": ""Camp Joshua and Camp Moses Schools - LOHADA"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""own_school"", ""children_served"", ""funding""], ""evidence_excerpt"": ""Primary school for 200+ children from Unga Limited slums and a village near Shinyanga; about 100 boarders; pre-K to Level 7.""}]"	shared	mobile		
contact		Ummu Aisha Orphanage Center - Licence No. 06422	https://www.ummuaishaorphanage.org/		2026-09-22	2026-09-22	verified	official	Licensed children's home for girls (Licence 06422, 2025-2030); 39 resident girls, 25 boys supported in community; founded 2006.		Ummu Aisha Orphanage Centre	ummuaishaorphanage.org										Kirika 'B' (Simba Trucking area)															General office	confirmed	email		info@ummuaishaorphanage.org			+255615505411		Published on Ummu Aisha's own website (contact section; second number marked WhatsApp).																				research_only		welfare_customer	WCON_ummu_aisha_orphanage_centre_general_office			medium	Mobiles and a gmail address published by the organisation as its contact lines.																							"[""info@ummuaishaorphanage.org"", ""ummuaishaorphanage@gmail.com""]"	"[""+255615505411"", ""+255754878615""]"											"[{""url"": ""https://www.ummuaishaorphanage.org/"", ""title"": ""Ummu Aisha Orphanage Center - Licence No. 06422"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""name"", ""licence"", ""address"", ""phones"", ""emails"", ""children_served"", ""schooling"", ""partners"", ""latest_activity""], ""evidence_excerpt"": ""Licensed children's home for girls (Licence 06422, 2025-2030); 39 resident girls, 25 boys supported in community; founded 2006.""}, {""url"": ""https://www.ummuaishaorphanage.org/contact"", ""title"": ""Contact - Ummu Aisha Orphanage Centre"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""address"", ""phone"", ""email"", ""whatsapp""], ""evidence_excerpt"": ""Ummu Aisha Road behind Masjid Salaam, Simba Trucking, Kirika 'B' JR, house 28; +255615505411; WhatsApp +255754878615.""}, {""url"": ""https://www.ummuaishaorphanage.org/"", ""title"": ""Ummu Aisha Orphanage Center - Licence No. 06422"", ""source_date"": ""2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""licence"", ""founded"", ""operator"", ""children_served"", ""contacts""], ""evidence_excerpt"": ""Licence 06422 valid 2025-2030; founded 2006 under Ansaar Muslim Youth Centre Arusha; girls resident, boys supported in community.""}, {""url"": ""https://www.ummuaishaorphanage.org/"", ""title"": ""Ummu Aisha Orphanage Center – Licence No. 06422"", ""source_date"": ""2025"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""licence"", ""address"", ""founded"", ""children"", ""school fees"", ""contacts"", ""partners""], ""evidence_excerpt"": ""Licence 06422 (2025–2030); founded 2006; 39 girls resident, 25 boys supported in community; pays school fees primary to tertiary.""}]"	role	mobile		
contact		Emusoi Centre	https://www.emusoicentre.co.tz	2026-04-26	2026-09-22	2026-09-22	verified	official	PO Box 1547 Arusha; +255 754597205; emusoicenter@gmail.com; update on 2025 impact dated 26 April 2026.		Emusoi Centre	emusoicentre.co.tz										Sakina (original site per Wikipedia; current site not confirmed)															General office	confirmed	email	emusoicenter@gmail.com				+255754597205		Published on Emusoi Centre's own website.																				research_only		welfare_customer	WCON_emusoi_centre_general_office			medium	Organisation's contact on a personal-domain mailbox and a mobile.																							"[""emusoicenter@gmail.com""]"	"[""+255754597205""]"											"[{""url"": ""https://www.emusoicentre.co.tz"", ""title"": ""Emusoi Centre"", ""source_date"": ""2026-04-26"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""contact"", ""latest_activity"", ""services""], ""evidence_excerpt"": ""PO Box 1547 Arusha; +255 754597205; emusoicenter@gmail.com; update on 2025 impact dated 26 April 2026.""}]"	shared	mobile		
contact		WOW Tanzania	https://wowtanzania.org/		2026-09-22	2026-09-22	verified	official	Programmes include Sponsor-a-Child (school fees, uniforms, meals, mentorship), WOW Cafe training and a student fund.		WOW Tanzania (Wakefulness Orphans And Widows Tanzania)	wowtanzania.org										Arusha (area not published)															General enquiries	confirmed	email		info@wowtanzania.org			+255684917161		Published on WOW Tanzania's own site.																				research_only		welfare_customer	WCON_wow_general_enquiries			medium	Mobile number published as the organisation's contact line.																							"[""info@wowtanzania.org""]"	"[""+255684917161""]"											"[{""url"": ""https://wowtanzania.org/"", ""title"": ""WOW Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""name"", ""phone"", ""email"", ""programmes""], ""evidence_excerpt"": ""Programmes include Sponsor-a-Child (school fees, uniforms, meals, mentorship), WOW Cafe training and a student fund.""}]"	role	mobile		
contact		About - WOW Tanzania	https://wowtanzania.org/about/		2026-09-22	2026-09-22	verified	official	Co-founders: Chairperson/Cafe Director/SAC Project Manager, Executive Director, and Treasurer; based in Arusha.		WOW Tanzania (Wakefulness Orphans And Widows Tanzania)	wowtanzania.org										Arusha (area not published)														Paula Mwansa	Chairperson, Cafe Director and Sponsor-a-Child Project Manager	confirmed	website						https://wowtanzania.org/about/	Named with role on WOW Tanzania's own About page.																				research_only		welfare_customer	WCON_wow_paula_mwansa			medium	Named individual in a professional role as published by the organisation.																																			"[{""url"": ""https://wowtanzania.org/about/"", ""title"": ""About - WOW Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""leadership"", ""location""], ""evidence_excerpt"": ""Co-founders: Chairperson/Cafe Director/SAC Project Manager, Executive Director, and Treasurer; based in Arusha.""}]"		unknown		
contact		About - WOW Tanzania	https://wowtanzania.org/about/		2026-09-22	2026-09-22	verified	official	Co-founders: Chairperson/Cafe Director/SAC Project Manager, Executive Director, and Treasurer; based in Arusha.		WOW Tanzania (Wakefulness Orphans And Widows Tanzania)	wowtanzania.org										Arusha (area not published)														Mike Mwansa	Executive Director	confirmed	website						https://wowtanzania.org/about/	Named with role on WOW Tanzania's own About page.																				research_only		welfare_customer	WCON_wow_mike_mwansa			medium	Named individual in a professional role as published by the organisation.																																			"[{""url"": ""https://wowtanzania.org/about/"", ""title"": ""About - WOW Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""leadership"", ""location""], ""evidence_excerpt"": ""Co-founders: Chairperson/Cafe Director/SAC Project Manager, Executive Director, and Treasurer; based in Arusha.""}]"		unknown		
contact		Contact - Connects Autism Tanzania	https://connectsautismtanzania.org/contact/		2026-09-22	2026-09-22	verified	official	Phone 0713 401 595 and info@ email published.		Connects Autism Tanzania	connectsautismtanzania.org										Arusha (area not published)															General enquiries	confirmed	email		info@connectsautismtanzania.org			+255713401595		Published on the organisation's own contact page.																				research_only		welfare_customer	WCON_connects_autism_general_enquiries			medium	Mobile published as organisational line.																							"[""info@connectsautismtanzania.org""]"	"[""+255713401595""]"											"[{""url"": ""https://connectsautismtanzania.org/contact/"", ""title"": ""Contact - Connects Autism Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""contact""], ""evidence_excerpt"": ""Phone 0713 401 595 and info@ email published.""}]"	role	mobile		
contact		Big Future Foundation	https://www.bigfuturefoundation.or.tz		2026-09-22	2026-09-22	verified	official	info@ email and +255 693 752 322 (phone/WhatsApp) published.		Big Future Foundation	bigfuturefoundation.or.tz										Arusha (area not published)															General enquiries	confirmed	email		info@bigfuturefoundation.or.tz			+255693752322		Published on the foundation's own site (phone and WhatsApp).																				research_only		welfare_customer	WCON_big_future_foundation_general_enquiries			medium	Mobile published as organisational line.																							"[""info@bigfuturefoundation.or.tz""]"	"[""+255693752322""]"											"[{""url"": ""https://www.bigfuturefoundation.or.tz"", ""title"": ""Big Future Foundation"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""contact""], ""evidence_excerpt"": ""info@ email and +255 693 752 322 (phone/WhatsApp) published.""}]"	role	whatsapp		
