from_organisation	to_organisation	relationship_type	from_key	to_key	from_in_master	verification_status	pdpa_risk	notes	sources
Kesho	LOHADA (Loving Hand for the Disadvantaged and Aged)	funds	WORG_kesho	WORG_lohada		verified	low		"[{""url"": ""https://www.guidestar.org/profile/90-0814285"", ""title"": ""Kesho - GuideStar Profile"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""directory"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""'LOHADA receives most of its funding from Kesho'.""}]"
Read With Me Arusha	Karim Children's Care Centre	funds	WORG_read_with_me_arusha	WORG_karim_children_care_centre		verified	low		"[{""url"": ""https://www.readwithmearusha.com/where-we-work/karim-orphanage/"", ""title"": ""Karim Orphanage - Read With Me Arusha"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Supports the children by 'sponsoring their school tuition and fees' and growing their library.""}]"
Heart for Africa (UK)	Bethlehem Center for Children	funds	WORG_heart_for_africa	WORG_bethlehem_centre_for_children		verified	low	Educational expenses / primary sponsorship per funder's orphanages page (undated).	"[{""url"": ""https://www.heartforafrica.co.uk/orphanages"", ""title"": ""Orphanages - Heart for Africa"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""beneficiaries""], ""evidence_excerpt"": ""Supports smaller community-centred Arusha orphanages: New Paradiso, Bethlehem Center, and pupils at GP-COSU.""}]"
Heart for Africa (UK)	New Paradiso Orphanage	funds	WORG_heart_for_africa	WORG_new_paradiso_orphanage		verified	low	Educational expenses / primary sponsorship per funder's orphanages page (undated).	"[{""url"": ""https://www.heartforafrica.co.uk/orphanages"", ""title"": ""Orphanages - Heart for Africa"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""beneficiaries""], ""evidence_excerpt"": ""Supports smaller community-centred Arusha orphanages: New Paradiso, Bethlehem Center, and pupils at GP-COSU.""}]"
Heart for Africa (UK)	Green Path for Community Success (GP-COSU)	funds	WORG_heart_for_africa	WORG_green_path_for_community_success		verified	low	Educational expenses / primary sponsorship per funder's orphanages page (undated).	"[{""url"": ""https://www.heartforafrica.co.uk/orphanages"", ""title"": ""Orphanages - Heart for Africa"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""beneficiaries""], ""evidence_excerpt"": ""Supports smaller community-centred Arusha orphanages: New Paradiso, Bethlehem Center, and pupils at GP-COSU.""}]"
Capital International (Isle of Man)	Huruma Vision Children's Home	funds	WORG_capital_international	WORG_huruma_vision_children_home		needs_review	low	Assumes 'Huruma Orphanage Arusha' is the Muriet home (not confirmed).	"[{""url"": ""https://www.capital-iom.com/company/huruma-project"", ""title"": ""The Huruma Project - Capital International"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Raised funds to buy land and buildings for the Huruma Orphanage in Arusha.""}]"
TerraWatu	Huruma Vision Children's Home	partners_with	WORG_terrawatu	WORG_huruma_vision_children_home		needs_review	low	TerraWatu names 'Huruma Children's Centre' in the Arusha region; match with the Muriet home not confirmed.	"[{""url"": ""https://terrawatu.org/current-projects/huruma-orphanage"", ""title"": ""Huruma Orphanage | TerraWatu"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Advising on permaculture, kitchen upgrades and cooking classes since 2020; child school sponsorships.""}]"
Imaniworld	Huruma Vision Children's Home	funds	WORG_imaniworld	WORG_huruma_vision_children_home		needs_review	low	'Huruma' in Arusha assumed to be the Muriet home; confirm.	"[{""url"": ""https://imaniworld.org/en/"", ""title"": ""Imaniworld"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Imaniworld supports Huruma in Arusha with school sponsorship, nutrition and health care.""}]"
Azar Foundation	Huruma Vision Children's Home	funds		WORG_huruma_vision_children_home		needs_review	low	In-kind food support, 2023.	"[{""url"": ""https://azar.foundation/hello-world/"", ""title"": ""Empowering Communities through Food Distribution in Arusha - Azar Foundation"", ""source_date"": ""2023-04-01"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Food deliveries in 2023 to Huruma Orphanage Center and St. Joseph Orphanage Center, Arusha.""}]"
Azar Foundation	St. Joseph's Orphanage (Kiserian)	funds		WORG_st_josephs_orphanage		needs_review	low	In-kind food support, 2023; 'St. Joseph Orphanage Center' assumed to be the Kiserian home.	"[{""url"": ""https://azar.foundation/hello-world/"", ""title"": ""Empowering Communities through Food Distribution in Arusha - Azar Foundation"", ""source_date"": ""2023-04-01"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Food deliveries in 2023 to Huruma Orphanage Center and St. Joseph Orphanage Center, Arusha.""}]"
Tropical and Wilderness Trails	Arusha Children's Trust (ACT)	partners_with		WORG_arusha_children		verified	low	ACT was set up under the safari company's auspices in 1999.	"[{""url"": ""https://www.arushachildrenstrust.org/about.html"", ""title"": ""About - Arusha Children's Trust"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founded"", ""operator"", ""mission""], ""evidence_excerpt"": ""Educational charity set up in Arusha in 1999 under a safari company; supports underprivileged children in Arusha and the Rift Valley.""}]"
Arusha Children's Trust (ACT)	Elang'ata E Maa Kindergarten (Olmuringiringa)	funds	WORG_arusha_children			historical	low	2019: materials, furniture and porridge; teacher salaries moved to another donor. The kindergarten is out of scope as a school.	"[{""url"": ""https://www.arushachildrenstrust.org/uploads/1/2/7/8/127856166/act_newsletter_2019.pdf"", ""title"": ""ACT Annual Newsletter Issue 19 - 2019"", ""source_date"": ""2019"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""beneficiary"", ""funding"", ""volunteer_run""], ""evidence_excerpt"": ""Small volunteer-run charity; supports a Maasai kindergarten (Elang'ata E Maa) in Olmuringiringa village near Arusha.""}]"
ELCT Northern Central Diocese	Peace House Secondary School	operates		WORG_peace_house		verified	low		"[{""url"": ""https://www.school.co.tz/s3838/school-profile"", ""title"": ""Peace House Secondary School - school.co.tz"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""directory"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Owner organisation: E.L.C.T Northern Central Diocese.""}]"
Peace House Africa	Peace House Secondary School	operates	WORG_peace_house_africa	WORG_peace_house		historical	low	Historical founder/operator.	"[{""url"": ""https://www.guidestar.org/profile/41-2018622"", ""title"": ""Peace House Africa - GuideStar"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""directory"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Programme: Peace House Secondary School, boarding school near Arusha for AIDS orphans.""}]"
Catholic Archdiocese of Arusha	Canaan Children's Center	operates		WORG_canaan_children_centre		verified	low		"[{""url"": ""https://www.canaanchildrenscenter.com/"", ""title"": ""Canaan Children's Center"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""operator"", ""founded"", ""children_served"", ""funder""], ""evidence_excerpt"": ""Home for children orphaned by AIDS and other vulnerable children; Archdiocese of Arusha, 2013; 39 children; US gifts via Seeds of Hope Tanzania.""}]"
Seeds of Hope Tanzania	Canaan Children's Center	funds		WORG_canaan_children_centre		verified	low	US tax-deductible donation channel.	"[{""url"": ""https://www.canaanchildrenscenter.com/contact"", ""title"": ""Contact - Canaan Children's Center"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""address"", ""director"", ""email"", ""phones""], ""evidence_excerpt"": ""Off Dodoma Road, Kisongo; PO Box 3044; Executive Director listed with yahoo email and two mobiles.""}]"
Unite The World With Africa Foundation	St. Joseph's Orphanage (Kiserian)	funds		WORG_st_josephs_orphanage		historical	low		"[{""url"": ""https://www.uniteafricafoundation.org/st-josephs-orphanage-1"", ""title"": ""St. Joseph's Orphanage - Unite"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Partnered January 2014 to October 2019; programme now complete.""}]"
Arusha Lutheran Medical Center	The Plaster House	operates	WORG_arusha_lutheran_medical_centre	WORG_kafika_house	Od109d0513fc6	verified	low		"[{""url"": ""http://www.theplasterhouse.org/"", ""title"": ""The Plaster House"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Operates 'as a program of the Arusha Lutheran Medical Center'.""}]"
SOS Children's Villages Tanzania	SOS Children's Village Arusha	operates		WORG_sos_children_village_arusha		verified	low		"[{""url"": ""https://www.sos-tanzania.org/what-we-do/where-we-work/tanzania-mainland/arusha"", ""title"": ""SOS Children's Villages Tanzania - Arusha"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""location"", ""founded"", ""services"", ""phone"", ""email""], ""evidence_excerpt"": ""SOS Tanzania places its Arusha village at Ngaramtoni on the Namanga road; opened 2000; family strengthening added 2022.""}]"
House of Happiness association (Switzerland)	House of Happiness	funds		WORG_house_of_happiness		verified	low	Swiss association funds and runs the home with a volunteer coordinator.	"[{""url"": ""https://www.houseofhappiness.ch/en/organisation"", ""title"": ""House of Happiness - Organization"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""operator"", ""board"", ""coordinator"", ""email""], ""evidence_excerpt"": ""Swiss association in Reigoldswil, in the Basel-Landschaft commercial register; volunteer board and a local coordinator in Arusha.""}, {""url"": ""https://www.houseofhappiness.ch/en/fakten"", ""title"": ""House of Happiness - Facts"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""funding_model""], ""evidence_excerpt"": ""Budget: about USD 810 per child a year (food, uniform, supplies, insurance), USD 40,000 wages, USD 18,400 utilities.""}]"
Arusha Social Welfare Department	House of Happiness	refers		WORG_house_of_happiness		verified	low	Children are assigned to the home by the social welfare department.	"[{""url"": ""https://www.houseofhappiness.ch/en/house-of-happiness"", ""title"": ""House Of Happiness - the orphanage"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""location"", ""opened"", ""children_served"", ""age_range"", ""schooling"", ""staff"", ""email"", ""instagram""], ""evidence_excerpt"": ""Home in Kisongo, Arumeru, opened September 2022 for almost 50 children aged 2-17; they walk about 30 minutes to a state school.""}]"
Catholic Archdiocese of Arusha	Canaan Children's Center	operates		WORG_canaan_children_centre		verified	low		"[{""url"": ""https://www.canaanchildrenscenter.com/"", ""title"": ""Canaan Children's Center"", ""source_date"": ""2020"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""name"", ""founded"", ""operator"", ""children_served"", ""services"", ""funding""], ""evidence_excerpt"": ""Established 2013 by the Catholic Archdiocese of Arusha; 39 residents with plans for 200; US tax receipts via Seeds of Hope Tanzania.""}, {""url"": ""https://arusha-archdiocese.or.tz/Uchungaji/kituo-cha-watoto-cha-kanaani/"", ""title"": ""Kituo cha Watoto cha Kanaani - Jimbo Kuu Katoliki Arusha"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""children_served"", ""age_range"", ""schooling"", ""director"", ""income_projects""], ""evidence_excerpt"": ""Archdiocese page (Kiswahili): 46 children aged 3-16 attend local schools; farm, bee and livestock projects for income.""}]"
Seeds of Hope Tanzania	Canaan Children's Center	funds		WORG_canaan_children_centre		needs_review	low	US tax-receipt channel for donations; details not published.	"[{""url"": ""https://www.canaanchildrenscenter.com/donate"", ""title"": ""Canaan Children's Center - Donate"", ""source_date"": ""2020"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""funding"", ""relationship""], ""evidence_excerpt"": ""Donations by wire to the centre; donors in the USA can get tax receipts through Seeds of Hope Tanzania.""}]"
Living Water Children's Fund (LWCF)	Living Water Children Centre	partners_with		WORG_living_water_children_centre		needs_review	low		"[{""url"": ""https://www.livingwaterchildrencentre.org/"", ""title"": ""Living Water Children's Centre"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""location"", ""email"", ""phone"", ""social_media"", ""partners""], ""evidence_excerpt"": ""Kisongo-based centre; contact watoto04@gmail.com and three +255 numbers; partners listed as LWCF, Partnerschaft fuer Afrika, Time2Help.""}]"
Partnerschaft fuer Afrika	Living Water Children Centre	partners_with		WORG_living_water_children_centre		needs_review	low		"[{""url"": ""https://www.livingwaterchildrencentre.org/"", ""title"": ""Living Water Children's Centre"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""location"", ""email"", ""phone"", ""social_media"", ""partners""], ""evidence_excerpt"": ""Kisongo-based centre; contact watoto04@gmail.com and three +255 numbers; partners listed as LWCF, Partnerschaft fuer Afrika, Time2Help.""}]"
Time2Help	Living Water Children Centre	partners_with		WORG_living_water_children_centre		needs_review	low		"[{""url"": ""https://www.livingwaterchildrencentre.org/"", ""title"": ""Living Water Children's Centre"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""location"", ""email"", ""phone"", ""social_media"", ""partners""], ""evidence_excerpt"": ""Kisongo-based centre; contact watoto04@gmail.com and three +255 numbers; partners listed as LWCF, Partnerschaft fuer Afrika, Time2Help.""}]"
Upendo Face Orphanage Foundation (Swiss association)	Upendo Face Orphanage	funds		WORG_upendo_face_orphanage		verified	low		"[{""url"": ""https://www.upendo-face.org/uber-uns/unser-v/"", ""title"": ""Unser Verein - Upendo Face"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""foreign_charity""], ""evidence_excerpt"": ""Swiss association Upendo Face Orphanage Foundation founded 2 October 2021 to fund food and schooling.""}, {""url"": ""https://www.upendo-face.org/"", ""title"": ""Upendo Face"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""registration"", ""services"", ""funding""], ""evidence_excerpt"": ""Orphanage with integrated preschool; NGO number 00NGO/08539; donations by card, bank, TWINT, GoFundMe; sponsorship scheme.""}]"
St. Gemma Galgani Sisters of Dodoma	St. Gabriel Home	operates		WORG_st_gabriel_home		needs_review	low		"[{""url"": ""https://stgemma.org/st-gabriel-home-mateves-arusha/"", ""title"": ""ST.GABRIEL HOME-MATEVES ARUSHA - Saint Gemma"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": false, ""facts_supported"": [""location"", ""founded"", ""operator"", ""children_served"", ""registration""], ""evidence_excerpt"": ""Search snippet: registered children centre set up 2007 by St Gemma Galgani Sisters; 10-15 resident; 70+ in pre/primary school.""}, {""url"": ""https://www.futureforkids.nl/language/en/arusha-tanzania-2/"", ""title"": ""Arusha, Tanzania - Future for Kids"", ""source_date"": ""2009-10"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""location"", ""operator"", ""children_served"", ""funding""], ""evidence_excerpt"": ""Dutch charity page: home in Mateves about 20 minutes from Arusha run by Catholic sisters; 11 young children resident in October 2009.""}]"
Sponsors of St Gabriel Home (Mateves, Arusha, Tanzania) - UK charity 1118031	St. Gabriel Home	funds		WORG_st_gabriel_home		unverified	low	Register page returned 403; charity status and income not confirmed.	"[{""url"": ""https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/4026629/full-print"", ""title"": ""SPONSORS OF ST GABRIEL HOME (MATEVES, ARUSHA, TANZANIA) - 1118031"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": false, ""facts_supported"": [""foreign_charity""], ""evidence_excerpt"": ""Search result title shows UK registered charity 1118031 supporting St Gabriel Home; register returned 403 when fetched.""}]"
Future for Kids (Netherlands)	St. Gabriel Home	funds		WORG_st_gabriel_home		historical	low	Funded a well and school corridor around 2009.	"[{""url"": ""https://www.futureforkids.nl/language/en/arusha-tanzania-2/"", ""title"": ""Arusha, Tanzania - Future for Kids"", ""source_date"": ""2009-10"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""location"", ""operator"", ""children_served"", ""funding""], ""evidence_excerpt"": ""Dutch charity page: home in Mateves about 20 minutes from Arusha run by Catholic sisters; 11 young children resident in October 2009.""}]"
Kesho	LOHADA	funds	WORG_kesho	WORG_lohada		verified	low		"[{""url"": ""https://lohada.org/about-lohada/"", ""title"": ""About LOHADA"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""registration"", ""founder"", ""services"", ""funding"", ""contacts""], ""evidence_excerpt"": ""Registered October 2000 after informal start in 1998; founder-director named; Kesho (US) provides main funding.""}, {""url"": ""https://www.guidestar.org/profile/90-0814285"", ""title"": ""Kesho - GuideStar Profile"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""directory"", ""fetched"": true, ""facts_supported"": [""funder"", ""registration""], ""evidence_excerpt"": ""GuideStar: Kesho, Columbus OH, EIN 90-0814285, ruling year 2012; US umbrella funding LOHADA.""}, {""url"": ""https://projects.propublica.org/nonprofits/organizations/900814285"", ""title"": ""Kesho - Nonprofit Explorer (ProPublica)"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""income""], ""evidence_excerpt"": ""IRS data via ProPublica: FY2025 Form 990 revenue USD 237,417; expenses USD 196,106.""}]"
Haven of Hope International	Matonyok Children's Home	funds		WORG_matonyok_children_home		verified	low	Support since 2020 per February 2023 report.	"[{""url"": ""https://havenofhopeintl.org/from-surviving-to-thriving-a-progress-report-on-matonyok-childrens-home-arusha-tanzania/"", ""title"": ""From Surviving to Thriving - Matonyok Children's Home, Arusha"", ""source_date"": ""2023-02-22"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""children_served"", ""school"", ""founding"", ""funding""], ""evidence_excerpt"": ""Partner report: 54 children live at the home; campus school serves 100+ children; Haven of Hope support since 2020.""}]"
Serving Orphans Worldwide	Matonyok Children's Home	funds		WORG_matonyok_children_home		verified	low	SOW: EIN 04-3614613, FY2024 revenue USD 3,876,354 (all programmes).	"[{""url"": ""https://servingorphans.org/matonyok-childrens-home-tanzania/"", ""title"": ""Matonyok Children's Home - Serving Orphans Worldwide"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""founded"", ""disability"", ""partner""], ""evidence_excerpt"": ""SOW partner page: home founded 2005 and cares for children with disabilities; SOW is a funding partner.""}, {""url"": ""https://projects.propublica.org/nonprofits/organizations/43614613"", ""title"": ""Serving Orphans Worldwide Inc - Nonprofit Explorer"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""income""], ""evidence_excerpt"": ""IRS data: Serving Orphans Worldwide Inc, Bristol TN, EIN 04-3614613, FY2024 revenue USD 3,876,354.""}]"
Children's Refuge International	Matonyok Children's Home	funds		WORG_matonyok_children_home		needs_review	low		"[{""url"": ""https://www.childrensrefuge.org/tanzania"", ""title"": ""Tanzania - Children's Refuge International"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""partner"", ""expansion""], ""evidence_excerpt"": ""Children's Refuge International supports Matonyok, announces a new boys' home, says every child has schooling access.""}]"
