db	organisation_id	name	segment	route_before	route_after	websites	emails	phones	postal	socials	named_contacts_before	new_named_leads	methods	blocked
master	Oae7daca781fb	St. Elizabeth Hospital Arusha	Hospital	True	True			+255272544417 (office)	P.O. Box 498, Arusha (Ngarenaro)	instagram: https://www.instagram.com/st.elizabethhospital_arusha/ | youtube: https://www.youtube.com/@st.elizabethhospital-gu3mi | facebook: https://www.facebook.com/p/ST-Elizabeth-Hospital-100071672630164/	0	0	search	
master	Oafdc286a337a	WILDERSUN SAFARIS & TOURS (T) LTD	Safari operator	True	True	http://www.wildersuntanzania.com	operations@wildersuntanzania.com (role)	+255754650650 (mobile) | +255784650650 (mobile) | +255754315177 (mobile)		facebook: http://www.facebook.com/776991785761306	1	0	website	
master	Oa2d6e2841852	Wilkinson Tours Ltd	Safari operator	True	True	https://wilkinson-tours.com/	info@wilkinson-tours.com (role)	+255784805259 (mobile)	P.O. Box 373 | P.O. Box 737, Usa River	facebook: https://www.facebook.com/WilkinsonTours/	5	0	website	
master	O4ae59fde9a4a	Earthlife Expeditions Company Limited	Safari operator	True	True	https://www.earthlifeexpeditions.com/	info@earthlifeexpeditions.com (role)	+255755849094 (mobile) | +255745359096 (mobile)	P.O. Box 16353 Arusha – Tanzania	facebook: https://www.facebook.com/EarthlifeExpeditions | instagram: https://www.instagram.com/earthlife_expeditions/ | twitter: https://twitter.com/safariearthlife	3	0	website	
master	O2b82864aa6da	ALLEN TANZANIA SAFARIS	Safari operator	True	True	https://allentanzaniasafaris.com/	info@allentanzaniasafaris.com (role)	+18592546589 (international)	P.O.BOX 15632, Arusha Tanzania	whatsapp: http://wa.me/	2	0	website	
master	Oa94c42988eac	Serengeti Pride Safaris	Safari operator	True	True	https://serengetipridesafaris.com/	info@serengetipridesafaris.com (role) | serepride@gmail.com (personal_domain) | info@serengetipride.com (role)	+255775999002 (mobile) | +255767482748 (mobile)	P.O Box 764, Usariver,Uraki-Makumira Road Plot No. 217 | P.O.Box 8820, Arusha, Tanzania, East Africa.	facebook: https://www.facebook.com/serengetipride | instagram: https://www.instagram.com/serengeti_pride_safaris/ | twitter: https://x.com/serengetipride?s=11	1	0	website	
master	O1bfb37e37c41	NORTHLAND SAFARIS LTD	Safari operator	True	True	https://northlandsafaris.com/	info@northlandsafaris.com (role)	+255788520000 (mobile) | +255744864000 (mobile) | +255754542820 (mobile) | +18592546589 (international)	P.O Box 1662, Arusha- Tanzania	facebook: https://www.facebook.com/northlandtanzaniasafaris | youtube: https://www.youtube.com/@northlandsafarisltd | instagram: https://www.instagram.com/northlandsafarisltd	2	0	website	
master	Oe5f29492ff37	AFRICA SAFARI EXPERTS LTD	Safari operator	True	True	https://safari-experts.de/home	info@safari-experts.de (role)	+499616343691 (international)		facebook: https://www.facebook.com/africasafariexperts | instagram: https://www.instagram.com/africa_safari_experts/?igshid=MzRlODBiNWFlZA%3D%3D	1	0	website	
master	O6923841a0f82	Africa Travel Bureau Ltd	Safari operator	True	True	https://www.africatravelbureau.com/	info@africatravelbureau.com (role) | info@africatravelbureau.co.tz (role)	+255713625788 (mobile) | +255659777773 (mobile)		instagram: https://www.instagram.com/africa_travel_bureau/ | facebook: https://www.facebook.com/africatravelbureau/ | whatsapp: https://wa.me/255713625788	1	0	website	
master	Od55a251feb55	Afroriginal Tours & Safaris Ltd	Safari operator	True	True	https://afroriginaltours.com/	info@afroriginaltours.com (role)		PO Box 16342	facebook: https://www.facebook.com/AfroriginalTours | instagram: https://www.instagram.com/afroriginals/ | youtube: https://www.youtube.com/user/AfroriginalTours	2	0	website	
master	Ob57f8d39dff5	ALEX WALKER SAFARIS / Serian	Safari operator	True	True	https://serian.com/	safaris@serian.com (role) | marketing@serian.com (role)		P.O. Box 1232, Arusha (Alex Walker Safaris (TZ) Limited)	instagram: http://instagram.com/alexwalkerserian | facebook: https://www.facebook.com/alexwalkersserian/	1	0	search	
master	Oc62b4be73d7e	Augustine's Adventure Africa ltd (AA Africa)	Safari operator	True	True	https://aaafrica.net/	info@aaafrica.net (role)	+255787477144 (mobile) | +255752477144 (mobile) | +255787378442 (mobile)	P.O. BOX 11726	facebook: https://www.facebook.com/aaafricasafaris	2	0	website	
master	O494abeb4606d	Base Camp Tanzania	Safari operator	True	True	https://basecamptanzania.co.tz/	management@basecamptanzania.com (general)	+255784186422 (mobile) | +255272545892 (office)	P.O. Box 568, Arusha, Tanzania		2	0	search	
master	O6968a792722b	INTREPID TRAVEL TANZANIA LIMITED	Safari operator	True	True	https://www.intrepidtravel.com/en		+15103794907 (international)		facebook: https://www.facebook.com/intrepidtravel | instagram: https://www.instagram.com/intrepidtravel | tiktok: https://www.tiktok.com/@intrepid_travel | twitter: https://x.com/Intrepid_Travel | youtube: https://www.youtube.com/intrepidtravel | linkedin: https://linkedin.com/company/intrepid-travel	1	0	website	
master	Of48b5e9fdc05	KIBO GUIDES (T) LTD	Safari operator	True	True	https://www.kiboguides.com/			P.O. Box 8281 Arusha.	instagram: https://www.instagram.com/kibo_guides/ | facebook: https://www.facebook.com/kiboguidestz/ | twitter: https://twitter.com/kibo_guides | youtube: https://www.youtube.com/channel/UC2CYJQ7sBsxWVpTFARXdGDA	1	0	website	
master	Ocbc0a898c461	KILI VIKINGS LIMITED	Safari operator	True	True	https://kilivikings.com/	info@kilivikings.com (role)	+255769654036 (mobile)		facebook: https://www.facebook.com/KilimanjaroVikings | twitter: https://twitter.com/kilivikings | instagram: https://www.instagram.com/kilimanjaro_vikings/ | linkedin: https://www.linkedin.com/company/kilimanjaro-vikings-limited | youtube: https://www.youtube.com/channel/UCNRcWRzT4hIQ7lkhJWNIAnA	2	0	search, website	
master	Od74a05b7e925	Krisha African Safaris Ltd	Safari operator	True	True	https://www.krishasafaris.com/	ceo@krishasafaris.com (role) | info@krishasafaris.com (role) | sales@krishasafaris.com (role)	+255784510194 (mobile) | +255785517731 (mobile) | +255693393023 (mobile)	P.O. Box 1127, Arusha	facebook: https://www.facebook.com/KrishaSafarisLtd | instagram: https://www.instagram.com/krishaafricansafaris | twitter: https://twitter.com/krisha_safaris | youtube: https://www.youtube.com/channel/UCfgbFWqGwLQ9JrXisjI6Zyg	1	0	search	krishasafaris.com: home page not readable: HTTP 429
master	O7f949d75cae7	LEGENDARY EXPEDITIONS (MWIBA HOLDINGS LTD)	Safari operator	True	True	https://www.legendaryexpeditions.co.tz/	enquiries@legendaryexpeditions.co.tz (role) | info@legendaryexpeditions.co.tz (role)	+255787993077 (mobile) | +255742329580 (mobile) | +255763949249 (mobile) | +255785497520 (mobile) | +255272508917 (office)	P.O. Box 2782, Arusha	instagram: https://www.instagram.com/legendaryexpeditions/ | facebook: https://www.facebook.com/legendaryexpeditions | linkedin: https://www.linkedin.com/company/legendary-expeditions-tanzania-safari/ | youtube: https://www.youtube.com/@legendaryexpeditions	1	0	search, website	
master	Ob86dcb58b76c	MAASAI MAGIC SAFARI COMPANY LTD	Safari operator	True	True	https://www.maasai-magic.com/					0	0	browser:blocked, website	
master	O846b61ccdd7b	Maasai Wanderings Limited	Safari operator	True	True	https://maasaiwanderings.com/	info@maasaiwanderings.com (role)	+255742930833 (mobile) | +15025450207 (international) | +255687417026 (mobile)		instagram: https://www.instagram.com/maasaiwanderings/	1	0	openstreetmap, website	
master	O884bad8b04b8	Migada Adventures Tours and Safaris	Safari operator	True	True	https://migadadventures.com/	info@migadadventures.com (role)	+255787370023 (mobile) | +255786370023 (mobile)		facebook: https://web.facebook.com/profile.php?id=100066979786257 | instagram: https://www.instagram.com/migadadventurestours | youtube: https://www.youtube.com/@migadadventures	0	0	browser, website	
master	Oe3fbf24d4ddb	Nature Discovery	Safari operator	True	True	https://naturediscovery.com/	info@naturediscovery.com (role)	+255739971859 (mobile) | +255754813614 (mobile)	PO Box 10574 | PO Box 10574,		0	0	website	
master	O9ec8db8e8b63	PAJOTA SAFARIS LTD	Safari operator	True	True						1	0		pajotasafaris.com: home page not readable: HTTP 403
master	Ofa40434a1f64	Shaw Safaris Ltd	Safari operator	True	True	https://shawsafaris.co.tz/	info@shawsafaris.com (role)	+255768945735 (mobile)		facebook: https://www.facebook.com/shawsafaris/	0	0	search	shawsafaris.com: home page not readable: URLError: <urlopen error [Errno 11001] getaddrinfo failed>
master	Ob2f968f00c1d	Shidolya Tours & Safaris Ltd	Safari operator	True	True	https://shidolyasafaris.com/	admin@shidolya.co.tz (role)	+255769680497 (mobile) | +255783410514 (mobile) | +255754773655 (mobile)	P.O. Box 1436, Arusha	facebook: https://www.facebook.com/shidolyatourssafaris | instagram: https://www.instagram.com/shidolyatourssafaris/ | tripadvisor: https://www.tripadvisor.com/Attraction_Review-g297913-d14883875-Reviews-Shidolya_Tours_and_Safari-Arusha_Arusha_Region.html | twitter: https://twitter.com/shidolyatourltd	0	0	browser:blocked, search	shidolyasafaris.com: robots.txt disallowed
master	Ob1eafb06d91d	Swala Safaris LTD	Safari operator	True	True	https://swalasafaris.com	info@swalasafaris.com (role) | swala@habari.co.tz (general)	+255737008008 (mobile) | +255738709014 (mobile)	P. O. Box 207, | P.O Box 207,		0	0	website	
master	Oc01d9612e3c1	Tandala Expeditions Limited	Safari operator	True	True	https://www.tandala.com/		+255784194194 (mobile)	P.O. Box 11540, Arusha, Tanzania	facebook: https://www.facebook.com/tandalaexpeditions | instagram: https://www.instagram.com/tandala_expeditions/ | youtube: https://youtube.com/playlist?list=PLnFq1mvWzY1MhGm687rvbbtjpu3Ak4n9t	3	0	website	
master	Oe5bd1b3cf183	Anderson's African Adventures Ltd	Safari operator	True	True		info@andersons.co.za (role)	+255272506390 (office) | +255272506392 (office) | +255782515550 (mobile) | +255754456456 (mobile) | +255787456546 (mobile)	P.O. Box 2765, Arusha		0	0	search	andersons.co.za: home page not readable: URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid f
master	O165bb1966844	KILAWENI LTD	Safari operator	True	True		info@kilaweni.com (role)	+255786019944 (mobile)	P.O. Box 352, Usa River, Arusha	facebook: https://www.facebook.com/KilaweniTours/	0	0	search	kilaweni.com: home page not readable: HTTP 500
master	O5680f8038d8d	Kilimanjaro Outfitters Limited	Safari operator	True	True			+255784294062 (mobile) | +255784321819 (mobile)	P.O. Box 2338, Arusha		0	0	search	kiliadventures.com: home page not readable: URLError: <urlopen error [Errno 11001] getaddrinfo failed>
master	Oa9f2f6cfc8fa	Kudu Safaris ltd	Safari operator	True	True	https://www.kudusafaris.net/	info@kudusafaris.net (role)	+255736500453 (mobile)	P.O. Box 378, Arusha		0	0	search	kudusafaris.co.tz: home page not readable: URLError: <urlopen error [Errno 11001] getaddrinfo failed>
master	O49acf40de67b	Sunny Adventure Safaris Ltd	Safari operator	True	True	https://www.sunnyadventures.co.tz/	sunnyadventures@habari.co.tz (general) | info@sunnyadventures.co.tz (role)	+255272506760 (office) | +255272506761 (office) | +255754600786 (mobile) | +255784600786 (mobile) | +255754471086 (mobile) | +255787559966 (mobile) | +255272544142 (office)	P.O. Box 972, Arusha, Tanzania	instagram: https://www.instagram.com/sunnyadventuresafaris/ | facebook: https://www.facebook.com/sunnyadventuresafaris	0	0	browser, search	sunnyadventures.co.tz: robots.txt disallowed
master	O42071d8e1589	Wildlife Explorer E.A. Ltd	Safari operator	True	True	https://www.explorertravelco.com/	info@explorertravelco.com (role)	+447876747261 (international)		facebook: https://www.facebook.com/Wildlife.Explorer | instagram: https://www.instagram.com/explorertravel84/?hl=en	4	0	website	
master	Ob72608b5c4c9	Yembi Adventure Ltd	Safari operator	True	True	https://www.123tanzania.com/	info@123tanzania.com (role)			facebook: https://web.facebook.com/123Tanzaniacom-408436382531690 | twitter: https://twitter.com/123Tanzania | youtube: https://www.youtube.com/user/powerwebtz	0	0	website	
master	O2d34e3b7235b	Bearfoot Expeditions	Safari / tour operator	True	True	https://bearfootexpeditions.com/	info@bearfootexpeditions.com (role) | sales@bearfootexpeditions.com (role) | steve@printpremier.com (general)	+255739972480 (mobile) | +255754368332 (mobile) | +255787999224 (mobile)	P.O. Box 1878 Arusha Tanzania.	facebook: https://www.facebook.com/bearfootexpeditionstz/ | instagram: https://www.instagram.com/bearfoot_expeditions/?hl=en	1	0	website	
master	O0f81299a660f	Bush 2 City Adventure	Safari / tour operator	True	True	https://bush2cityadventure.com/				facebook: https://www.facebook.com/bush2cityadventure | instagram: https://www.instagram.com/bush2cityadventure/ | twitter: https://twitter.com/B2Cadventure | whatsapp: https://wa.me/255789725322	3	0	website	
master	Ocd3ccb5ffe99	Dream Peak Safaris	Safari / tour operator	True	True	https://dreampeaksafaris.com/	info@dreampeaksafaris.com (role)	+255744333398 (mobile) | +61438840617 (international)		whatsapp: https://wa.me/+255744333398 | tiktok: https://www.tiktok.com/@dreampeaktourssafaris | instagram: https://www.instagram.com/dreampeaksafaris/ | facebook: https://www.facebook.com/DreamPeakSafaris | youtube: https://www.youtube.com/@DreamPeakSafaris	7	0	website	
master	O5de8e5bade24	EWA Safari Outfitters (Extreme Wilderness Adventure)	Safari / tour operator	True	True	http://www.theextremewilderness.com	info@theextremewilderness.com (role) | usinfo@theextremewilderness.com (general)	+255747999070 (mobile)		instagram: https://www.instagram.com/extremewildernessadventure/ | facebook: https://www.facebook.com/theextremewilderness/ | youtube: https://www.youtube.com/@ExtremeWildernessAdventure | whatsapp: https://wa.me/255747999070	1	0	website	
master	O400ac25b3261	Josh Dreamland Safaris	Safari / tour operator	True	True	https://joshdreamlandsafari.com	info@joshdreamlandsafari.com (role)	+255750152246 (mobile) | +255768182246 (mobile) | +255796172246 (mobile) | +255697682246 (mobile)		whatsapp: https://wa.me/255750152246 | facebook: https://facebook.com/Joshdreamlandsafari | instagram: https://www.instagram.com/josh_dreamland_safari/ | youtube: https://www.youtube.com/@JoshDreamlandSafari | tiktok: https://www.tiktok.com/@joshdreamlandsafari	3	0	website	
master	O0367110283a3	Safari Kings Tanzania Ltd	Safari / tour operator	True	True	https://safarikings.com/		+61290531940 (international) | +255765436897 (mobile)		instagram: https://www.instagram.com/SafariKingsTanzania/ | facebook: https://www.facebook.com/profile.php?id=61582069054514	2	0	website	
master	O3ef6297075e2	Safari.Africa	Safari / tour operator	True	True	https://www.safari.africa/		+255787082545 (mobile) | +255686410309 (mobile)			6	0	website	
master	O06f6a9866546	Serengeti African Tours	Safari / tour operator	True	True	https://serengetiafricantours.com/	info@serengetiafricantours.com (role) | booking@serengetiafricantours.com (role) | reservations@serengetiafricantours.com (role) | careers@serengetiafricantours.com (role)	+255763468213 (mobile) | +255762468213 (mobile) | +255787468213 (mobile) | +255788468213 (mobile) | +255750008213 (mobile) | +255794338213 (mobile) | +255794318213 (mobile)		whatsapp: https://wa.me/255762468213 | facebook: https://www.facebook.com/SerengetiAfricanTours | instagram: https://www.instagram.com/serengetiafricantours/ | youtube: https://www.youtube.com/@serengetiafricantours	4	0	website	
master	Oed0d744628cc	JM Tours Ltd	Safari / tour operator	True	True	https://jmtours.com/	info@jmtours.com (role)	+255747099995 (mobile)	P.O. Box 392,	whatsapp: https://wa.me/255747099995 | facebook: https://www.facebook.com/jmtours.co.tz/ | youtube: https://www.youtube.com/@jmtourstrips | instagram: https://www.instagram.com/jmtourstanzania/ | twitter: https://x.com/JMTours_ | linkedin: https://www.linkedin.com/company/j-m-tours/	5	0	website	
master	O96691b5cc950	Eyes Of Tanzania Limited	Safari / tour operator	True	True	https://eyes-of-tanzania.com/	info@eyes-of-tanzania.com (role)	+31686119597 (international) | +255767272230 (mobile) | +255759194113 (mobile)		facebook: http://facebook.com | twitter: http://twitter.com | instagram: http://instagram.com	3	0	website	
master	Oe70f925d1706	I Dream of Africa Ltd	Safari / tour operator	True	True	https://www.idreamofafrica.com/	booking@idreamofafrica.com (role) | samantha-travel@gmail.com (personal_domain) | andy-travel@gmail.com (personal_domain)	+12124258617 (international) | +255754461594 (mobile)	P.O. Box 2281, Arusha, Tanzania	instagram: https://www.instagram.com/i_dream_of_africa_safari/?hl=en | facebook: https://www.facebook.com/idreamofafrica/	2	0	website	
master	O3f6d85c3cbe1	Kotia Photographic Safaris and Tours	Safari / tour operator	True	True	https://kotiasafaris.co.tz/	info@kotiasafaris.co.tz (role)	+255693727520 (mobile) | +255767463608 (mobile)		instagram: https://www.instagram.com/kotiasafaris?utm_source=qr&igsh=MTRhb2lhOXR4dHhvbQ%3D%3D | facebook: https://www.facebook.com/profile.php?id=100079583303652	2	0	website	
master	O68f2287b470b	Volunteers Africa Heart’s Desire Limited	Safari / tour operator	True	True	https://www.africaheartsdesire.com/	info@africaheartsdesire.com (role)	+255746108950 (mobile)		facebook: https://www.facebook.com/volunteersafricaheartsdesire | youtube: https://www.youtube.com/channel/UCT25_XnFsB2w3ikAQjny9Kg | instagram: https://www.instagram.com/africaheartsdesire/	2	0	website	
master	Oc97677178b3b	Wildfinder Tours & Safaris Limited	Safari / tour operator	True	True	https://wildfindersafaris.com/	info@wildfindersafaris.com (role)			facebook: https://www.facebook.com/wildfindersafaris | instagram: https://www.instagram.com/wildfindersafaris/ | whatsapp: https://wa.me/+4915140363881	4	0	website	
master	O695d7410f683	Kilimanjaro Heroes Adventures	Safari / tour operator	True	True	https://kilimanjaroheroes.com/	info@kilimanjaroheroes.com (role)	+255716588188 (mobile)		whatsapp: https://wa.me/255716588188 | facebook: https://www.facebook.com/KilimanjaroHeroesAdventures/ | youtube: https://www.youtube.com/@kilimanjaroheroes	2	0	website	
