record_key	name	office_level	council_name	region	admin_unit_name	parent_admin_unit	proposed_government_track	track_reason	ward_score	ward_tier	campus	distance_km	transport_band	lat	lon	geocode_precision	location_source	osm_id	master_organisation_id	verification_status	missing_information
GOFF_council_arusha-city-council	Halmashauri ya Jiji la Arusha (Arusha City Council)	council	Arusha City Council	Arusha	Arusha City Council	Arusha	GA01 Protocol introduction	Core council (plan §5.1) with its office published on its official website. Send the Kiswahili letter by hand, call after 5 working days, then visit.			Ilboru	2.2	0-5 km	-3.366122	36.696705	address	official website map			verified	
GOFF_council_arusha-district-council	Halmashauri ya Wilaya ya Arusha (Arusha District Council)	council	Arusha District Council	Arusha	Arusha District Council	Arumeru	GA01 Protocol introduction	Core council (plan §5.1) with its office published on its official website. Send the Kiswahili letter by hand, call after 5 working days, then visit.			Kijenge	2.4	0-5 km	-3.362353	36.709356	address	official website map			verified	
GOFF_council_meru-district-council	Halmashauri ya Wilaya ya Meru (Meru District Council)	council	Meru District Council	Arusha	Meru District Council	Arumeru	GA01 Protocol introduction	Core council (plan §5.1) with its office published on its official website. Send the Kiswahili letter by hand, call after 5 working days, then visit.			Usa River	4.0	0-5 km	-3.358175	36.827767	address	official website map			verified	
GOFF_council_hai-district-council	Halmashauri ya Wilaya ya Hai (Hai District Council)	council	Hai District Council	Kilimanjaro	Hai District Council	Hai	GA01 Protocol introduction	Core council (plan §5.1) with its office published on its official website. Send the Kiswahili letter by hand, call after 5 working days, then visit.			Boma Ngombe	0.5	0-5 km	-3.332878	37.143025	address	official website map			verified	
GOFF_council_siha-district-council	Halmashauri ya Wilaya ya Siha (Siha District Council)	council	Siha District Council	Kilimanjaro	Siha District Council	Siha	GA00 Hold	Outside the v1 pilot councils (plan §5.10); 9 of its wards fall within 25 km of a campus.			Boma Ngombe	11.9	11-15 km	-3.233093	37.101936	address	official website map			verified	
GOFF_council_moshi-district-council	Halmashauri ya Wilaya ya Moshi (Moshi District Council)	council	Moshi District Council	Kilimanjaro	Moshi District Council	Moshi	GA00 Hold	Outside the v1 pilot councils (plan §5.10); 4 of its wards fall within 25 km of a campus.												verified	
GOFF_council_moshi-municipal-council	Halmashauri ya Manispaa ya Moshi (Moshi Municipal Council)	council	Moshi Municipal Council	Kilimanjaro	Moshi Municipal Council	Moshi	GA00 Hold	Outside the v1 pilot councils (plan §5.10); 17 of its wards fall within 25 km of a campus.			Boma Ngombe	22.4	21-25 km	-3.349516	37.33937	address	official website map			verified	
GOFF_council_monduli-district-council	Halmashauri ya Wilaya ya Monduli (Monduli District Council)	council	Monduli District Council	Arusha	Monduli District Council	Monduli	GA00 Hold	Outside the v1 pilot councils (plan §5.10); 5 of its wards fall within 25 km of a campus.			Arusha City	24.8	21-25 km	-3.298002	36.445067	address	official website map			verified	
GOFF_council_simanjiro-district-council	Halmashauri ya Wilaya ya Simanjiro (Simanjiro District Council)	council	Simanjiro District Council	Manyara	Simanjiro District Council	Simanjiro	GA00 Hold	Outside the v1 pilot councils (plan §5.10); 1 of its wards fall within 25 km of a campus.			Boma Ngombe	125.1	>25 km (outside catchment)	-4.45806	37.195316	address	official website map			verified	
GOFF_ward_arusha-city-council_kati	Ofisi ya Kata ya Kati (Arusha City Council)	ward	Arusha City Council	Arusha	Kati	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	25.3	P3	Kijenge	2.6	0-5 km	-3.37388889	36.68833333	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_kaloleni	Ofisi ya Kata ya Kaloleni (Arusha City Council)	ward	Arusha City Council	Arusha	Kaloleni	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	29.0	P3	Ilboru	1.8	0-5 km	-3.36222222	36.6875	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_sekei	Ofisi ya Kata ya Sekei (Arusha City Council)	ward	Arusha City Council	Arusha	Sekei	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	29.6	P3	Kijenge	2.3	0-5 km	-3.3698	36.6943	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_themi	Ofisi ya Kata ya Themi (Arusha City Council)	ward	Arusha City Council	Arusha	Themi	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	29.2	P3	Kijenge	1.8	0-5 km	-3.3992	36.7052	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_daraja-2	Ofisi ya Kata ya Daraja II (Arusha City Council)	ward	Arusha City Council	Arusha	Daraja II	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	45.9	P1	Kijenge	2.2	0-5 km	-3.38305556	36.69	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_unga-limited	Ofisi ya Kata ya Unga Ltd (Arusha City Council)	ward	Arusha City Council	Arusha	Unga Ltd	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	42.1	P1	Arusha City	3.4	0-5 km	-3.37867222	36.6777	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_ngarenaro	Ofisi ya Kata ya Ngarenaro (Arusha City Council)	ward	Arusha City Council	Arusha	Ngarenaro	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	31.2	P2	Arusha City	2.4	0-5 km	-3.3693	36.6756	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_levolosi	Ofisi ya Kata ya Levolosi (Arusha City Council)	ward	Arusha City Council	Arusha	Levolosi	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	27.7	P3	Ilboru	2.7	0-5 km	-3.3685	36.6827	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_kimandolu	Ofisi ya Kata ya Kimandolu (Arusha City Council)	ward	Arusha City Council	Arusha	Kimandolu	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	50.4	P1	Kijenge	1.9	0-5 km	-3.36777778	36.71611111	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_baraa	Ofisi ya Kata ya Baraa (Arusha City Council)	ward	Arusha City Council	Arusha	Baraa	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	44.7	P1	Kijenge	3.2	0-5 km	-3.3805	36.73822222	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_oloirien	Ofisi ya Kata ya Oloirien (Arusha City Council)	ward	Arusha City Council	Arusha	Oloirien	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	48.7	P1	Kijenge	0.8	0-5 km	-3.38888889	36.71472222	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_moshono	Ofisi ya Kata ya Moshono (Arusha City Council)	ward	Arusha City Council	Arusha	Moshono	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	47.3	P1	Kijenge	3.8	0-5 km	-3.3995	36.7407	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_moivaro	Ofisi ya Kata ya Moivaro (Arusha City Council)	ward	Arusha City Council	Arusha	Moivaro	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	33.7	P2	Kijenge	4.5	0-5 km	-3.3894637	36.7499399	estimated	osm_place			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_lemara	Ofisi ya Kata ya Lemara (Arusha City Council)	ward	Arusha City Council	Arusha	Lemara	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	49.6	P1	Kijenge	3.8	0-5 km	-3.41527778	36.69805556	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_terrat	Ofisi ya Kata ya Terrat (Arusha City Council)	ward	Arusha City Council	Arusha	Terrat	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	37.9	P2	Kijenge	12.2	11-15 km	-3.48944444	36.68027778	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_sokon-1	Ofisi ya Kata ya Sokon I (Arusha City Council)	ward	Arusha City Council	Arusha	Sokon I	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	52.5	P1	Kijenge	4.3	0-5 km	-3.40666667	36.67833333	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_sombetini	Ofisi ya Kata ya Sombetini (Arusha City Council)	ward	Arusha City Council	Arusha	Sombetini	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	52.6	P1	Arusha City	3.8	0-5 km	-3.38665	36.6674	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_engutoto	Ofisi ya Kata ya Engutoto (Arusha City Council)	ward	Arusha City Council	Arusha	Engutoto	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	32.5	P2	Kijenge	6.7	6-10 km	-3.44361111	36.70972222	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_elerai	Ofisi ya Kata ya Elerai (Arusha City Council)	ward	Arusha City Council	Arusha	Elerai	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	49.4	P1	Arusha City	1.7	0-5 km	-3.3683	36.6593	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_olasiti	Ofisi ya Kata ya Olasiti (Arusha City Council)	ward	Arusha City Council	Arusha	Olasiti	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	49.5	P1	Arusha City	6.5	6-10 km	-3.4085	36.6439	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_muriet	Ofisi ya Kata ya Muriet (Arusha City Council)	ward	Arusha City Council	Arusha	Muriet	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	52.2	P1	Kijenge	3.7	0-5 km	-3.41	36.73	estimated	gazetteer			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_olmoti	Ofisi ya Kata ya Olmoti (Arusha City Council)	ward	Arusha City Council	Arusha	Olmoti	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.					unknown				none			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_sakina	Ofisi ya Kata ya Sakina (Arusha City Council)	ward	Arusha City Council	Arusha	Sakina	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	48.8	P1	Arusha City	0.0	0-5 km	-3.3527984	36.6612609	estimated	gazetteer			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_osunyai-jr	Ofisi ya Kata ya Osunyai Jr (Arusha City Council)	ward	Arusha City Council	Arusha	Osunyai Jr	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.					unknown				none			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-city-council_sinoni	Ofisi ya Kata ya Sinoni (Arusha City Council)	ward	Arusha City Council	Arusha	Sinoni	Arusha City Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.					unknown				none			needs_review	Ward office location and phone, WEO name (ask the council after GA01); councillor not published online.
GOFF_ward_arusha-district-council_lengijave	Ofisi ya Kata ya Lengijave (Arusha District Council)	ward	Arusha District Council	Arusha	Lengijave	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	33.8	P2	Arusha City	14.5	11-15 km	-3.2333249	36.6079251	estimated	osm_place			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_olturumet	Ofisi ya Kata ya Olturumet (Arusha District Council)	ward	Arusha District Council	Arusha	Olturumet	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	36.6	P2	Arusha City	7.7	6-10 km	-3.30222222	36.61388889	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_mwandet	Ofisi ya Kata ya Mwandet (Arusha District Council)	ward	Arusha District Council	Arusha	Mwandet	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	41.0	P1	Arusha City	14.4	11-15 km	-3.268271	36.562657	estimated	osm_places_listed_under_ward_name			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_musa	Ofisi ya Kata ya Musa (Arusha District Council)	ward	Arusha District Council	Arusha	Musa	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	26.1	P3	Arusha City	16.5	16-20 km	-3.3307	36.5139	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_kisongo	Ofisi ya Kata ya Kisongo (Arusha District Council)	ward	Arusha District Council	Arusha	Kisongo	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	28.9	P3	Arusha City	10.1	11-15 km	-3.3718982	36.5719498	estimated	osm_place			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_mateves	Ofisi ya Kata ya Mateves (Arusha District Council)	ward	Arusha District Council	Arusha	Mateves	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	41.5	P1	Arusha City	10.2	11-15 km	-3.3738	36.5723	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_oldonyowass	Ofisi ya Kata ya Oldonyowass (Arusha District Council)	ward	Arusha District Council	Arusha	Oldonyowass	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	18.1	P4	Ilboru	21.1	21-25 km	-3.156522	36.6991591	estimated	osm_place			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_lemanyata	Ofisi ya Kata ya Lemanyata (Arusha District Council)	ward	Arusha District Council	Arusha	Lemanyata	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	33.5	P2	Arusha City	11.1	11-15 km	-3.2626649	36.6180325	estimated	osm_place			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_laroi	Ofisi ya Kata ya Laroi (Arusha District Council)	ward	Arusha District Council	Arusha	Laroi	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	15.7	P4	Kijenge	15.0	11-15 km	-3.4909366	36.6283518	estimated	osm_place			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_ilkidinga	Ofisi ya Kata ya Ilkiding'a (Arusha District Council)	ward	Arusha District Council	Arusha	Ilkiding'a	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	44.3	P1	Ilboru	3.3	0-5 km	-3.317172	36.6854726	estimated	osm_place			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_olturoto	Ofisi ya Kata ya Olturoto (Arusha District Council)	ward	Arusha District Council	Arusha	Olturoto	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	45.8	P1	Ilboru	1.9	0-5 km	-3.342	36.7089	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_moivo	Ofisi ya Kata ya Moivo (Arusha District Council)	ward	Arusha District Council	Arusha	Moivo	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.					unknown				none			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_kiranyi	Ofisi ya Kata ya Kiranyi (Arusha District Council)	ward	Arusha District Council	Arusha	Kiranyi	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	54.2	P1	Ilboru	1.5	0-5 km	-3.35555556	36.6825	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_kimnyak	Ofisi ya Kata ya Kimnyak (Arusha District Council)	ward	Arusha District Council	Arusha	Kimnyak	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	40.4	P1	Arusha City	5.0	6-10 km	-3.30944444	36.64916667	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_oljoro	Ofisi ya Kata ya Oljoro (Arusha District Council)	ward	Arusha District Council	Arusha	Oljoro	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	11.4	P4	Kijenge	21.6	21-25 km	-3.57111111	36.66	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_sambasha	Ofisi ya Kata ya Sambasha (Arusha District Council)	ward	Arusha District Council	Arusha	Sambasha	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	34.7	P2	Ilboru	6.3	6-10 km	-3.29327778	36.67341667	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_oloirien	Ofisi ya Kata ya Oloirien (Arusha District Council)	ward	Arusha District Council	Arusha	Oloirien	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.					unknown				none			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_olmotonyi	Ofisi ya Kata ya Olmotonyi (Arusha District Council)	ward	Arusha District Council	Arusha	Olmotonyi	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	40.8	P1	Arusha City	4.9	0-5 km	-3.3138	36.6399	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_tarakwa	Ofisi ya Kata ya Tarakwa (Arusha District Council)	ward	Arusha District Council	Arusha	Tarakwa	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	36.5	P2	Arusha City	2.9	0-5 km	-3.3267011	36.6642004	estimated	osm_place			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_ilboru	Ofisi ya Kata ya Ilboru (Arusha District Council)	ward	Arusha District Council	Arusha	Ilboru	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	32.0	P2	Ilboru	0.0	0-5 km	-3.346521	36.692204	estimated	gazetteer			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_bangata	Ofisi ya Kata ya Bangata (Arusha District Council)	ward	Arusha District Council	Arusha	Bangata	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	26.9	P3	Ilboru	6.6	6-10 km	-3.33333333	36.75	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_sokon-2	Ofisi ya Kata ya Sokon II (Arusha District Council)	ward	Arusha District Council	Arusha	Sokon II	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	47.4	P1	Ilboru	4.9	0-5 km	-3.33972222	36.73588889	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_bwawani	Ofisi ya Kata ya Bwawani (Arusha District Council)	ward	Arusha District Council	Arusha	Bwawani	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	22.4	P3	Usa River	22.9	21-25 km	-3.5687545	36.8360544	estimated	osm_place			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_nduruma	Ofisi ya Kata ya Nduruma (Arusha District Council)	ward	Arusha District Council	Arusha	Nduruma	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	30.4	P2	Kijenge	14.2	11-15 km	-3.4806143	36.7927055	address	openstreetmap office	node/10827624377	O01ad41ed15c0	needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_mlangarini	Ofisi ya Kata ya Mlangarini (Arusha District Council)	ward	Arusha District Council	Arusha	Mlangarini	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	41.6	P1	Kijenge	8.5	6-10 km	-3.43361111	36.76833333	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_arusha-district-council_kiutu	Ofisi ya Kata ya Kiutu (Arusha District Council)	ward	Arusha District Council	Arusha	Kiutu	Arusha District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.					unknown				none			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_hai-district-council_machame-uroki	Ofisi ya Kata ya Machame Uroki (Hai District Council)	ward	Hai District Council	Kilimanjaro	Machame Uroki	Hai District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	15.8	P4	Boma Ngombe	13.7	11-15 km	-3.2307	37.2049	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_hai-district-council_machame-kaskazini	Ofisi ya Kata ya Machame Kaskazini (Hai District Council)	ward	Hai District Council	Kilimanjaro	Machame Kaskazini	Hai District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	31.8	P2	Boma Ngombe	18.3	16-20 km	-3.2	37.23305556	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
GOFF_ward_hai-district-council_machame-mashariki	Ofisi ya Kata ya Machame Mashariki (Hai District Council)	ward	Hai District Council	Kilimanjaro	Machame Mashariki	Hai District Council	GA00 Hold	Reach through the council introduction (GA01) first. GA02 needs that introduction and a post verified within 90 days.	18.4	P4	Boma Ngombe	19.7	16-20 km	-3.2082	37.2636	estimated	wikipedia			needs_review	Ward office location and phone, WEO name (ask the council after GA01).
