record_key	level	name	council	region	admin_district	core_council	population_2022	male_2022	female_2022	households_2022	avg_household_size_2022	census_source_location	lat	lon	geocode_precision	location_source	location_ref	location_note	campus	distance_km	transport_band	nearest_primary_campus	distance_to_primary_km	primary_band	campus_cluster	in_catchment	ward_score	ward_tier	rank_in_cluster	factors_known	score_factors
AU_ward_arusha-city-council_oloirien	ward	Oloirien	Arusha City Council	Arusha	Arusha	True	22926	10775	12151	7408	3.1	Table 2.7, PDF page 62 (printed page 36), row 11	-3.38888889	36.71472222	estimated	wikipedia	Oloirien	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Kijenge	0.8	0-5 km	Arusha City	7.2	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	48.8	P1	10	2 of 5	"{""population_2022_relative"": 26.3, ""transport_band"": 22.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_moshono	ward	Moshono	Arusha City Council	Arusha	Arusha	True	26890	12450	14440	7285	3.7	Table 2.7, PDF page 62 (printed page 36), row 12	-3.3995	36.7407	estimated	wikipedia	Moshono	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Kijenge	3.8	0-5 km	Arusha City	10.2	11-15 km	Arusha (Sakina, Kijenge, Ilboru)	yes	47.4	P1	12	2 of 5	"{""population_2022_relative"": 27.4, ""transport_band"": 20.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_moivaro	ward	Moivaro	Arusha City Council	Arusha	Arusha	True	12215	5720	6495	3401	3.6	Table 2.7, PDF page 62 (printed page 36), row 13	-3.3894637	36.7499399	estimated	osm_place	node/9310007474	OpenStreetMap neighbourhood 'Moivaro'; no Wikipedia ward point.	Kijenge	4.5	0-5 km	Arusha City	10.7	11-15 km	Arusha (Sakina, Kijenge, Ilboru)	yes	33.9	P2	29	2 of 5	"{""population_2022_relative"": 13.9, ""transport_band"": 20.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_lemara	ward	Lemara	Arusha City Council	Arusha	Arusha	True	26884	12870	14014	8130	3.3	Table 2.7, PDF page 62 (printed page 36), row 14	-3.41527778	36.69805556	estimated	wikipedia	Lemara	Wikipedia ward point, corroborated by the OpenStreetMap place 'Lemara Kati, Lemara', listed under 'Lemara' 1.5 km away.	Kijenge	3.8	0-5 km	Arusha City	8.1	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	49.6	P1	6	2 of 5	"{""population_2022_relative"": 27.1, ""transport_band"": 22.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_terrat	ward	Terrat	Arusha City Council	Arusha	Arusha	True	20524	9646	10878	5211	3.9	Table 2.7, PDF page 62 (printed page 36), row 15	-3.48944444	36.68027778	estimated	wikipedia	Terrat, Arusha	Wikipedia ward point, corroborated by the centre of 3 OpenStreetMap places listed under 'Terrat' (spread 1.9 km) 1.1 km away.	Kijenge	12.2	11-15 km	Arusha City	15.3	16-20 km	Arusha (Sakina, Kijenge, Ilboru)	yes	38.0	P2	24	2 of 5	"{""population_2022_relative"": 25.5, ""transport_band"": 12.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_sokon-1	ward	Sokon I	Arusha City Council	Arusha	Arusha	True	93037	44277	48760	26327	3.5	Table 2.7, PDF page 62 (printed page 36), row 16	-3.40666667	36.67833333	estimated	wikipedia	Sokoni I	Wikipedia ward point, corroborated by the OpenStreetMap place 'Engosengiu, Sokon I', listed under 'Sokon I' 1.4 km away.	Kijenge	4.3	0-5 km	Arusha City	6.3	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	52.5	P1	3	2 of 5	"{""population_2022_relative"": 30.0, ""transport_band"": 22.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_sombetini	ward	Sombetini	Arusha City Council	Arusha	Arusha	True	28111	13333	14778	9032	3.1	Table 2.7, PDF page 62 (printed page 36), row 17	-3.38665	36.6674	estimated	wikipedia	Sombetini	Wikipedia ward point, corroborated by the OpenStreetMap place 'Simajiro, Sombetini', listed under 'Sombetini' 1.3 km away.	Arusha City	3.8	0-5 km	Arusha City	3.8	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	52.6	P1	2	2 of 5	"{""population_2022_relative"": 27.6, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_engutoto	ward	Engutoto	Arusha City Council	Arusha	Arusha	True	12759	6619	6140	3160	4.0	Table 2.7, PDF page 62 (printed page 36), row 18	-3.44361111	36.70972222	estimated	wikipedia	Engutoto	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Kijenge	6.7	6-10 km	Arusha City	11.4	11-15 km	Arusha (Sakina, Kijenge, Ilboru)	yes	32.8	P2	31	2 of 5	"{""population_2022_relative"": 15.3, ""transport_band"": 17.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_elerai	ward	Elerai	Arusha City Council	Arusha	Arusha	True	19502	9372	10130	6170	3.2	Table 2.7, PDF page 62 (printed page 36), row 19	-3.3683	36.6593	estimated	wikipedia	Elerai	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	1.7	0-5 km	Arusha City	1.7	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	49.5	P1	8	2 of 5	"{""population_2022_relative"": 24.5, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_olasiti	ward	Olasiti	Arusha City Council	Arusha	Arusha	True	53557	24950	28607	14522	3.7	Table 2.7, PDF page 62 (printed page 36), row 20	-3.4085	36.6439	estimated	wikipedia	Olasiti	Wikipedia ward point, corroborated by the OpenStreetMap neighbourhood 'Olasiti, Olasiti' 1.0 km away.	Arusha City	6.5	6-10 km	Arusha City	6.5	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	49.5	P1	7	2 of 5	"{""population_2022_relative"": 29.5, ""transport_band"": 20.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_muriet	ward	Muriet	Arusha City Council	Arusha	Arusha	True	60209	28001	32208	15633	3.9	Table 2.7, PDF page 62 (printed page 36), row 21	-3.41	36.73	estimated	gazetteer	collect_partner_leads.js GAZ	Repository gazetteer (collect_partner_leads.js GAZ); no Wikipedia or OpenStreetMap point.	Kijenge	3.7	0-5 km	Arusha City	9.9	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	52.2	P1	4	2 of 5	"{""population_2022_relative"": 29.7, ""transport_band"": 22.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_olmoti	ward	Olmoti	Arusha City Council	Arusha	Arusha	True	14132	6749	7383	4162	3.4	Table 2.7, PDF page 62 (printed page 36), row 22				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_arusha-city-council_sakina	ward	Sakina	Arusha City Council	Arusha	Arusha	True	19172	9171	10001	6138	3.1	Table 2.7, PDF page 62 (printed page 36), row 23	-3.3527984	36.6612609	estimated	gazetteer	lead-gazetteer.txt	Repository gazetteer (lead-gazetteer.txt); no Wikipedia or OpenStreetMap point.	Arusha City	0.0	0-5 km	Arusha City	0.0	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	48.9	P1	9	2 of 5	"{""population_2022_relative"": 23.9, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-city-council_osunyai-jr	ward	Osunyai Jr	Arusha City Council	Arusha	Arusha	True	29507	13769	15738	8923	3.3	Table 2.7, PDF page 62 (printed page 36), row 24				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_arusha-city-council_sinoni	ward	Sinoni	Arusha City Council	Arusha	Arusha	True	58542	27966	30576	17059	3.4	Table 2.7, PDF page 62 (printed page 36), row 25				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_arusha-district-council_oldonyosambu	ward	Oldonyosambu	Arusha District Council	Arusha	Arumeru	True	13003	5986	7017	3022	4.3	Table 2.3, PDF page 58 (printed page 32), row 1	-3.11694444	36.73666667	estimated	wikipedia	Oldonyosambu	Wikipedia ward point, corroborated by the centre of 2 OpenStreetMap places listed under 'Oldonyosambu' (spread 1.8 km) 4.3 km away.	Ilboru	26.0	>25 km (outside catchment)	Arusha City	27.5	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_arusha-district-council_lengijave	ward	Lengijave	Arusha District Council	Arusha	Arumeru	True	15027	6547	8480	3402	4.4	Table 2.3, PDF page 58 (printed page 32), row 2	-3.2333249	36.6079251	estimated	osm_place	node/7508603838	OpenStreetMap hamlet 'Lengijave'; no Wikipedia ward point.	Arusha City	14.5	11-15 km	Arusha City	14.5	11-15 km	Arusha (Sakina, Kijenge, Ilboru)	yes	33.9	P2	28	2 of 5	"{""population_2022_relative"": 18.9, ""transport_band"": 15.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_olturumet	ward	Olturumet	Arusha District Council	Arusha	Arumeru	True	13869	6510	7359	3457	4.0	Table 2.3, PDF page 58 (printed page 32), row 3	-3.30222222	36.61388889	estimated	wikipedia	Oltrumet	Wikipedia ward point, corroborated by the centre of 2 OpenStreetMap places listed under 'Oltrumet' (spread 2.2 km) 0.7 km away.	Arusha City	7.7	6-10 km	Arusha City	7.7	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	36.8	P2	25	2 of 5	"{""population_2022_relative"": 16.8, ""transport_band"": 20.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_mwandet	ward	Mwandet	Arusha District Council	Arusha	Arumeru	True	22650	10107	12543	5152	4.4	Table 2.3, PDF page 58 (printed page 32), row 4	-3.268271	36.562657	estimated	osm_places_listed_under_ward_name	node/7508570366; node/7508570367; node/7798403856	Centre of 3 OpenStreetMap places listed under 'Mwandeti' (spread 4.0 km); no Wikipedia ward point.	Arusha City	14.4	11-15 km	Arusha City	14.4	11-15 km	Arusha (Sakina, Kijenge, Ilboru)	yes	41.1	P1	21	2 of 5	"{""population_2022_relative"": 26.1, ""transport_band"": 15.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_musa	ward	Musa	Arusha District Council	Arusha	Arumeru	True	13481	6239	7242	3139	4.3	Table 2.3, PDF page 58 (printed page 32), row 5	-3.3307	36.5139	estimated	wikipedia	Mussa, Tanzania	Wikipedia ward point, corroborated by the centre of 3 OpenStreetMap places listed under 'Mussa' (spread 2.7 km) 2.6 km away.	Arusha City	16.5	16-20 km	Arusha City	16.5	16-20 km	Arusha (Sakina, Kijenge, Ilboru)	yes	26.3	P3	42	2 of 5	"{""population_2022_relative"": 16.3, ""transport_band"": 10.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_kisongo	ward	Kisongo	Arusha District Council	Arusha	Arumeru	True	12519	5896	6623	2939	4.3	Table 2.3, PDF page 58 (printed page 32), row 6	-3.3718982	36.5719498	estimated	osm_place	node/554180385	OpenStreetMap village 'Kisongo'; no Wikipedia ward point.	Arusha City	10.1	11-15 km	Arusha City	10.1	11-15 km	Arusha (Sakina, Kijenge, Ilboru)	yes	29.2	P3	37	2 of 5	"{""population_2022_relative"": 14.2, ""transport_band"": 15.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_mateves	ward	Mateves	Arusha District Council	Arusha	Arumeru	True	23287	11089	12198	7556	3.1	Table 2.3, PDF page 58 (printed page 32), row 7	-3.3738	36.5723	estimated	wikipedia	Mateves	Wikipedia ward point, corroborated by the OpenStreetMap neighbourhood 'Mateves, Olasiti' 3.1 km away.	Arusha City	10.2	11-15 km	Arusha City	10.2	11-15 km	Arusha (Sakina, Kijenge, Ilboru)	yes	41.6	P1	19	2 of 5	"{""population_2022_relative"": 26.6, ""transport_band"": 15.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_oldonyowass	ward	Oldonyowass	Arusha District Council	Arusha	Arumeru	True	11905	5476	6429	2889	4.1	Table 2.3, PDF page 58 (printed page 32), row 8	-3.156522	36.6991591	estimated	osm_place	node/7508603380	OpenStreetMap hamlet 'Oldonyowas, Oldonyosambu'; no Wikipedia ward point.	Ilboru	21.1	21-25 km	Arusha City	22.2	21-25 km	Arusha (Sakina, Kijenge, Ilboru)	yes	18.4	P4	47	2 of 5	"{""population_2022_relative"": 13.4, ""transport_band"": 5.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_lemanyata	ward	Lemanyata	Arusha District Council	Arusha	Arumeru	True	14672	6465	8207	3399	4.3	Table 2.3, PDF page 58 (printed page 32), row 9	-3.2626649	36.6180325	estimated	osm_place	node/7508603839	OpenStreetMap hamlet 'Lemanyata, Olkokola'; no Wikipedia ward point.	Arusha City	11.1	11-15 km	Arusha City	11.1	11-15 km	Arusha (Sakina, Kijenge, Ilboru)	yes	33.7	P2	30	2 of 5	"{""population_2022_relative"": 18.7, ""transport_band"": 15.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_laroi	ward	Laroi	Arusha District Council	Arusha	Arumeru	True	7096	3322	3774	1743	4.1	Table 2.3, PDF page 58 (printed page 32), row 10	-3.4909366	36.6283518	estimated	osm_place	node/7508505510	OpenStreetMap village 'Laroi'; no Wikipedia ward point.	Kijenge	15.0	11-15 km	Arusha City	15.8	16-20 km	Arusha (Sakina, Kijenge, Ilboru)	yes	15.9	P4	48	2 of 5	"{""population_2022_relative"": 3.4, ""transport_band"": 12.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_ilkidinga	ward	Ilkiding'a	Arusha District Council	Arusha	Arumeru	True	15218	7265	7953	3679	4.1	Table 2.3, PDF page 58 (printed page 32), row 11	-3.317172	36.6854726	estimated	osm_place	node/7502936369	Reviewed override (links.json): Agent decision 23 September 2026, for review: keeps the OpenStreetMap village 'Ilkiding'a'. 'Ilkidinga Secondary School' (node/534360378, data/raw/government-research/osm_named_facilities_2026-09-23.json) lies 0.7 km from it, while the Wikipedia point is 7.8 km away.	Ilboru	3.3	0-5 km	Arusha City	4.8	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	44.5	P1	16	2 of 5	"{""population_2022_relative"": 19.5, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_olturoto	ward	Olturoto	Arusha District Council	Arusha	Arumeru	True	18899	9146	9753	4971	3.8	Table 2.3, PDF page 58 (printed page 32), row 12	-3.342	36.7089	estimated	wikipedia	Oltroto	Wikipedia ward point, corroborated by the OpenStreetMap village 'Oltoroto' 1.0 km away.	Ilboru	1.9	0-5 km	Arusha City	5.4	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	45.9	P1	14	2 of 5	"{""population_2022_relative"": 23.4, ""transport_band"": 22.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_moivo	ward	Moivo	Arusha District Council	Arusha	Arumeru	True	25110	12067	13043	8293	3.0	Table 2.3, PDF page 58 (printed page 32), row 13				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_arusha-district-council_kiranyi	ward	Kiranyi	Arusha District Council	Arusha	Arumeru	True	40158	19048	21110	12315	3.3	Table 2.3, PDF page 58 (printed page 32), row 14	-3.35555556	36.6825	estimated	wikipedia	Kiranyi	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Ilboru	1.5	0-5 km	Arusha City	2.4	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	54.2	P1	1	2 of 5	"{""population_2022_relative"": 29.2, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_kimnyak	ward	Kimnyak	Arusha District Council	Arusha	Arumeru	True	16332	7637	8695	3758	4.3	Table 2.3, PDF page 58 (printed page 32), row 15	-3.30944444	36.64916667	estimated	wikipedia	Kimnyaki	Wikipedia ward point, corroborated by the OpenStreetMap neighbourhood 'Kimnyaki, Olmotonyi' 1.2 km away.	Arusha City	5.0	6-10 km	Arusha City	5.0	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	40.5	P1	23	2 of 5	"{""population_2022_relative"": 20.5, ""transport_band"": 20.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_oljoro	ward	Oljoro	Arusha District Council	Arusha	Arumeru	True	9100	4178	4922	2372	3.8	Table 2.3, PDF page 58 (printed page 32), row 16	-3.57111111	36.66	estimated	wikipedia	Oljoro	Wikipedia ward point, corroborated by the OpenStreetMap hamlet 'Oljoro, Oljoro' 3.7 km away.	Kijenge	21.6	21-25 km	Arusha City	24.3	21-25 km	Arusha (Sakina, Kijenge, Ilboru)	yes	11.6	P4	51	2 of 5	"{""population_2022_relative"": 6.6, ""transport_band"": 5.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_sambasha	ward	Sambasha	Arusha District Council	Arusha	Arumeru	True	12739	5457	7282	3117	4.1	Table 2.3, PDF page 58 (printed page 32), row 17	-3.29327778	36.67341667	estimated	wikipedia	Sambasha	Wikipedia ward point, corroborated by the OpenStreetMap neighbourhood 'Sambasha, Sambasha' 0.0 km away.	Ilboru	6.3	6-10 km	Arusha City	6.8	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	35.0	P2	27	2 of 5	"{""population_2022_relative"": 15.0, ""transport_band"": 20.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_oloirien	ward	Oloirien	Arusha District Council	Arusha	Arumeru	True	29477	13736	15741	8690	3.4	Table 2.3, PDF page 58 (printed page 32), row 18				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_arusha-district-council_olmotonyi	ward	Olmotonyi	Arusha District Council	Arusha	Arumeru	True	13345	6201	7144	3758	3.6	Table 2.3, PDF page 58 (printed page 32), row 19	-3.3138	36.6399	estimated	wikipedia	Olmotonyi	Wikipedia ward point, corroborated by the OpenStreetMap neighbourhood 'Olmotonyi, Kimnyaki' 3.2 km away.	Arusha City	4.9	0-5 km	Arusha City	4.9	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	41.1	P1	22	2 of 5	"{""population_2022_relative"": 16.1, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_tarakwa	ward	Tarakwa	Arusha District Council	Arusha	Arumeru	True	11205	5334	5871	2689	4.2	Table 2.3, PDF page 58 (printed page 32), row 20	-3.3267011	36.6642004	estimated	osm_place	node/7798403846	OpenStreetMap neighbourhood 'Tarakwa, Olorieni'; no Wikipedia ward point.	Arusha City	2.9	0-5 km	Arusha City	2.9	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	36.6	P2	26	2 of 5	"{""population_2022_relative"": 11.6, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_ilboru	ward	Ilboru	Arusha District Council	Arusha	Arumeru	True	9367	4639	4728	3229	2.9	Table 2.3, PDF page 58 (printed page 32), row 21	-3.346521	36.692204	estimated	gazetteer	lead-gazetteer.txt	Repository gazetteer (lead-gazetteer.txt); no Wikipedia or OpenStreetMap point.	Ilboru	0.0	0-5 km	Arusha City	3.5	0-5 km	Arusha (Sakina, Kijenge, Ilboru)	yes	32.1	P2	32	2 of 5	"{""population_2022_relative"": 7.1, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_bangata	ward	Bangata	Arusha District Council	Arusha	Arumeru	True	10166	5013	5153	2678	3.8	Table 2.3, PDF page 58 (printed page 32), row 22	-3.33333333	36.75	estimated	wikipedia	Bangata	Wikipedia ward point, corroborated by the centre of 2 OpenStreetMap places listed under 'Bangata' (spread 1.7 km) 1.6 km away.	Ilboru	6.6	6-10 km	Arusha City	10.1	11-15 km	Arusha (Sakina, Kijenge, Ilboru)	yes	27.0	P3	41	2 of 5	"{""population_2022_relative"": 9.5, ""transport_band"": 17.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
