record_key	office_key	organisation_name	post_key	office_title	office_title_sw	appointment_type	holder_name	holder_verified_on	tenure_source_url	role_phone	published_role_email	b2g_check_required	pdpa_risk	verification_status	source_url
GPOST_council-hai-district-council_council_director	GOFF_council_hai-district-council	Halmashauri ya Wilaya ya Hai (Hai District Council)	council_director	Council Director	Mkurugenzi wa Halmashauri	civil_service	Dionis Myinga	2026-09-23	https://haidc.go.tz/api/profiles		ded@haidc.go.tz	no	medium	verified	https://haidc.go.tz/api/profiles
GPOST_council-hai-district-council_council_chair	GOFF_council_hai-district-council	Halmashauri ya Wilaya ya Hai (Hai District Council)	council_chair	Council Chairperson or Mayor	Mwenyekiti wa Halmashauri / Meya	elected	Mhe. Edmund Rutaraka	2026-09-23	https://haidc.go.tz/api/profiles			no	medium	verified	https://haidc.go.tz/api/profiles
GPOST_council-hai-district-council_community_development_head	GOFF_council_hai-district-council	Halmashauri ya Wilaya ya Hai (Hai District Council)	community_development_head	Head of Community Development Division	Mkuu wa Divisheni ya Maendeleo ya Jamii	civil_service						no	low	needs_review	https://haidc.go.tz/api/pages/slug/community-development
GPOST_council-hai-district-council_social_welfare_officer	GOFF_council_hai-district-council	Halmashauri ya Wilaya ya Hai (Hai District Council)	social_welfare_officer	Council Social Welfare Officer	Afisa Ustawi wa Jamii wa Halmashauri	civil_service						no	low	needs_review	https://haidc.go.tz/api/pages/slug/health-social-welfare-and-nutrition
GPOST_council-hai-district-council_primary_education_head	GOFF_council_hai-district-council	Halmashauri ya Wilaya ya Hai (Hai District Council)	primary_education_head	Head of Pre-Primary and Primary Education Division	Mkuu wa Divisheni ya Elimu ya Awali na Msingi	civil_service						yes	low	needs_review	https://haidc.go.tz/api/pages/slug/pre-primary-and-primary-education
GPOST_council-siha-district-council_council_director	GOFF_council_siha-district-council	Halmashauri ya Wilaya ya Siha (Siha District Council)	council_director	Council Director	Mkurugenzi wa Halmashauri	civil_service	Bi. Hellen E. Mwambeta	2026-09-23	https://sihadc.go.tz/api/profiles		ded@sihadc.go.tz	no	medium	verified	https://sihadc.go.tz/api/profiles
GPOST_council-siha-district-council_council_chair	GOFF_council_siha-district-council	Halmashauri ya Wilaya ya Siha (Siha District Council)	council_chair	Council Chairperson or Mayor	Mwenyekiti wa Halmashauri / Meya	elected	Mhe. Duncan Urassa	2026-09-23	https://sihadc.go.tz/api/profiles			no	medium	verified	https://sihadc.go.tz/api/profiles
GPOST_council-siha-district-council_community_development_head	GOFF_council_siha-district-council	Halmashauri ya Wilaya ya Siha (Siha District Council)	community_development_head	Head of Community Development Division	Mkuu wa Divisheni ya Maendeleo ya Jamii	civil_service						no	low	needs_review	https://sihadc.go.tz/api/pages/slug/community
GPOST_council-siha-district-council_social_welfare_officer	GOFF_council_siha-district-council	Halmashauri ya Wilaya ya Siha (Siha District Council)	social_welfare_officer	Council Social Welfare Officer	Afisa Ustawi wa Jamii wa Halmashauri	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_council-siha-district-council_primary_education_head	GOFF_council_siha-district-council	Halmashauri ya Wilaya ya Siha (Siha District Council)	primary_education_head	Head of Pre-Primary and Primary Education Division	Mkuu wa Divisheni ya Elimu ya Awali na Msingi	civil_service						yes	low	needs_review	https://sihadc.go.tz/api/pages/slug/pre-primary-and-primary-education
GPOST_council-moshi-district-council_council_director	GOFF_council_moshi-district-council	Halmashauri ya Wilaya ya Moshi (Moshi District Council)	council_director	Council Director	Mkurugenzi wa Halmashauri	civil_service	Ndg. Shadrack Mohamed Mhagama	2026-09-23	https://moshidc.go.tz/api/profiles		ded@moshidc.go.tz	no	medium	verified	https://moshidc.go.tz/api/profiles
GPOST_council-moshi-district-council_council_chair	GOFF_council_moshi-district-council	Halmashauri ya Wilaya ya Moshi (Moshi District Council)	council_chair	Council Chairperson or Mayor	Mwenyekiti wa Halmashauri / Meya	elected	Hon. John Mapato Meela	2026-09-23	https://moshidc.go.tz/api/profiles			no	medium	verified	https://moshidc.go.tz/api/profiles
GPOST_council-moshi-district-council_community_development_head	GOFF_council_moshi-district-council	Halmashauri ya Wilaya ya Moshi (Moshi District Council)	community_development_head	Head of Community Development Division	Mkuu wa Divisheni ya Maendeleo ya Jamii	civil_service						no	low	needs_review	https://moshidc.go.tz/api/pages/slug/community-development-division
GPOST_council-moshi-district-council_social_welfare_officer	GOFF_council_moshi-district-council	Halmashauri ya Wilaya ya Moshi (Moshi District Council)	social_welfare_officer	Council Social Welfare Officer	Afisa Ustawi wa Jamii wa Halmashauri	civil_service						no	low	needs_review	https://moshidc.go.tz/api/pages/slug/health-social-welfare-and-nutrition-services-division
GPOST_council-moshi-district-council_primary_education_head	GOFF_council_moshi-district-council	Halmashauri ya Wilaya ya Moshi (Moshi District Council)	primary_education_head	Head of Pre-Primary and Primary Education Division	Mkuu wa Divisheni ya Elimu ya Awali na Msingi	civil_service						yes	low	needs_review	https://moshidc.go.tz/api/pages/slug/pre-primary-and-primary-education-division
GPOST_council-moshi-municipal-council_council_director	GOFF_council_moshi-municipal-council	Halmashauri ya Manispaa ya Moshi (Moshi Municipal Council)	council_director	Council Director	Mkurugenzi wa Halmashauri	civil_service	Bi.Mwajuma Nasombe	2026-09-23	https://moshimc.go.tz/api/profiles		md@moshimc.go.tz	no	medium	verified	https://moshimc.go.tz/api/profiles
GPOST_council-moshi-municipal-council_council_chair	GOFF_council_moshi-municipal-council	Halmashauri ya Manispaa ya Moshi (Moshi Municipal Council)	council_chair	Council Chairperson or Mayor	Mwenyekiti wa Halmashauri / Meya	elected	HON..ZUBERI KIDUMO	2026-09-23	https://moshimc.go.tz/api/profiles			no	medium	verified	https://moshimc.go.tz/api/profiles
GPOST_council-moshi-municipal-council_community_development_head	GOFF_council_moshi-municipal-council	Halmashauri ya Manispaa ya Moshi (Moshi Municipal Council)	community_development_head	Head of Community Development Division	Mkuu wa Divisheni ya Maendeleo ya Jamii	civil_service						no	low	needs_review	https://moshimc.go.tz/api/pages/slug/community-development
GPOST_council-moshi-municipal-council_social_welfare_officer	GOFF_council_moshi-municipal-council	Halmashauri ya Manispaa ya Moshi (Moshi Municipal Council)	social_welfare_officer	Council Social Welfare Officer	Afisa Ustawi wa Jamii wa Halmashauri	civil_service						no	low	needs_review	https://moshimc.go.tz/api/pages/slug/health-social-welfare-and-nutrition-services
GPOST_council-moshi-municipal-council_primary_education_head	GOFF_council_moshi-municipal-council	Halmashauri ya Manispaa ya Moshi (Moshi Municipal Council)	primary_education_head	Head of Pre-Primary and Primary Education Division	Mkuu wa Divisheni ya Elimu ya Awali na Msingi	civil_service						yes	low	needs_review	https://moshimc.go.tz/api/pages/slug/pre-primary-and-primary-education
GPOST_council-monduli-district-council_council_director	GOFF_council_monduli-district-council	Halmashauri ya Wilaya ya Monduli (Monduli District Council)	council_director	Council Director	Mkurugenzi wa Halmashauri	civil_service	Bi. happiness R Laizer	2026-09-23	https://mondulidc.go.tz/api/profiles		ded@mondulidc.go.tz	no	medium	verified	https://mondulidc.go.tz/api/profiles
GPOST_council-monduli-district-council_council_chair	GOFF_council_monduli-district-council	Halmashauri ya Wilaya ya Monduli (Monduli District Council)	council_chair	Council Chairperson or Mayor	Mwenyekiti wa Halmashauri / Meya	elected	Hon. Kisioki Lengoije Moitiko	2026-09-23	https://mondulidc.go.tz/api/profiles			no	medium	verified	https://mondulidc.go.tz/api/profiles
GPOST_council-monduli-district-council_community_development_head	GOFF_council_monduli-district-council	Halmashauri ya Wilaya ya Monduli (Monduli District Council)	community_development_head	Head of Community Development Division	Mkuu wa Divisheni ya Maendeleo ya Jamii	civil_service						no	low	needs_review	https://mondulidc.go.tz/api/pages/slug/community-development-division
GPOST_council-monduli-district-council_social_welfare_officer	GOFF_council_monduli-district-council	Halmashauri ya Wilaya ya Monduli (Monduli District Council)	social_welfare_officer	Council Social Welfare Officer	Afisa Ustawi wa Jamii wa Halmashauri	civil_service						no	low	needs_review	https://mondulidc.go.tz/api/pages/slug/health-social-welfare-and-nutrition-services-division
GPOST_council-monduli-district-council_primary_education_head	GOFF_council_monduli-district-council	Halmashauri ya Wilaya ya Monduli (Monduli District Council)	primary_education_head	Head of Pre-Primary and Primary Education Division	Mkuu wa Divisheni ya Elimu ya Awali na Msingi	civil_service						yes	low	needs_review	https://mondulidc.go.tz/api/pages/slug/pre-primary-and-primary-education-division
GPOST_council-simanjiro-district-council_council_director	GOFF_council_simanjiro-district-council	Halmashauri ya Wilaya ya Simanjiro (Simanjiro District Council)	council_director	Council Director	Mkurugenzi wa Halmashauri	civil_service	Bw.Gracian Makota	2026-09-23	https://simanjirodc.go.tz/api/profiles		ded@simanjirodc.go.tz	no	medium	verified	https://simanjirodc.go.tz/api/profiles
GPOST_council-simanjiro-district-council_council_chair	GOFF_council_simanjiro-district-council	Halmashauri ya Wilaya ya Simanjiro (Simanjiro District Council)	council_chair	Council Chairperson or Mayor	Mwenyekiti wa Halmashauri / Meya	elected	Mh. KALEYA MELITA MOLLEL	2026-09-23	https://simanjirodc.go.tz/api/profiles			no	medium	verified	https://simanjirodc.go.tz/api/profiles
GPOST_council-simanjiro-district-council_community_development_head	GOFF_council_simanjiro-district-council	Halmashauri ya Wilaya ya Simanjiro (Simanjiro District Council)	community_development_head	Head of Community Development Division	Mkuu wa Divisheni ya Maendeleo ya Jamii	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_council-simanjiro-district-council_social_welfare_officer	GOFF_council_simanjiro-district-council	Halmashauri ya Wilaya ya Simanjiro (Simanjiro District Council)	social_welfare_officer	Council Social Welfare Officer	Afisa Ustawi wa Jamii wa Halmashauri	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_council-simanjiro-district-council_primary_education_head	GOFF_council_simanjiro-district-council	Halmashauri ya Wilaya ya Simanjiro (Simanjiro District Council)	primary_education_head	Head of Pre-Primary and Primary Education Division	Mkuu wa Divisheni ya Elimu ya Awali na Msingi	civil_service						yes	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_ward-arusha-city-council-kati_ward_executive_officer	GOFF_ward_arusha-city-council_kati	Ofisi ya Kata ya Kati (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-kati_ward_councillor	GOFF_ward_arusha-city-council_kati	Ofisi ya Kata ya Kati (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-kati_ward_community_development_officer	GOFF_ward_arusha-city-council_kati	Ofisi ya Kata ya Kati (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-kaloleni_ward_executive_officer	GOFF_ward_arusha-city-council_kaloleni	Ofisi ya Kata ya Kaloleni (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-kaloleni_ward_councillor	GOFF_ward_arusha-city-council_kaloleni	Ofisi ya Kata ya Kaloleni (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-kaloleni_ward_community_development_officer	GOFF_ward_arusha-city-council_kaloleni	Ofisi ya Kata ya Kaloleni (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sekei_ward_executive_officer	GOFF_ward_arusha-city-council_sekei	Ofisi ya Kata ya Sekei (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sekei_ward_councillor	GOFF_ward_arusha-city-council_sekei	Ofisi ya Kata ya Sekei (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sekei_ward_community_development_officer	GOFF_ward_arusha-city-council_sekei	Ofisi ya Kata ya Sekei (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-themi_ward_executive_officer	GOFF_ward_arusha-city-council_themi	Ofisi ya Kata ya Themi (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-themi_ward_councillor	GOFF_ward_arusha-city-council_themi	Ofisi ya Kata ya Themi (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-themi_ward_community_development_officer	GOFF_ward_arusha-city-council_themi	Ofisi ya Kata ya Themi (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
